nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.165,0.0068,0.026,1.5,0.1,9,0.75,0.02,4,0.075,80,2.2258,0.242
0.099,0.0204,0.026,1.5,0.1,9,0.75,0.06,4,0.075,80,2.3039,0.1469
0.165,0.0068,0.078,1.5,0.1,9,0.75,0.02,4,0.075,80,2.4212,0.0426
0.099,0.0204,0.026,1.5,0.1,9,0.75,0.02,4,0.225,80,2.3568,0.069
0.033,0.034,0.078,1.5,0.1,9,0.75,0.02,4,0.075,80,2.41,0.1124
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.06,4,0.225,80,2.269,0.0805
0.165,0.0068,0.026,1.5,0.1,9,0.75,0.06,4,0.225,80,2.2518,0.0853
0.033,0.034,0.026,1.5,0.1,9,0.75,0.06,4,0.225,80,2.2451,0.0773
0.033,0.0068,0.026,1.5,0.1,9,0.75,0.2,4,0.075,80,2.2693,0.2237
0.165,0.034,0.026,1.5,0.1,9,0.75,0.02,4,0.225,80,2.4431,0.1087
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.1,4,0.375,80,2.3197,0.0972
0.165,0.0204,0.026,1.5,0.1,9,0.75,0.06,4,0.375,80,2.3597,0.0697
0.165,0.0204,0.078,1.5,0.1,9,0.75,0.02,4,0.375,80,2.3285,0.0916
0.033,0.0204,0.078,1.5,0.1,9,0.75,0.2,4,0.075,80,2.3376,0.0434
0.099,0.034,0.13,1.5,0.1,9,0.75,0.06,4,0.225,80,2.2652,0.0478
0.165,0.0204,0.026,1.5,0.1,9,0.75,0.1,4,0.375,80,2.2277,0.1493
0.099,0.034,0.026,1.5,0.1,9,0.75,0.2,4,0.075,80,2.6532,0.1262
0.165,0.0068,0.026,1.5,0.1,9,0.75,0.2,4,0.225,80,2.1716,0.5242
0.099,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.225,80,2.2318,0.3808
0.33,0.0068,0.078,1.5,0.1,9,0.75,0.1,4,0.075,80,2.5519,0.0497
0.165,0.0204,0.13,1.5,0.1,9,0.75,0.1,4,0.225,80,2.2337,0.0144
0.165,0.034,0.078,1.5,0.1,9,0.75,0.06,4,0.375,80,2.1755,0.0407
0.165,0.0204,0.078,1.5,0.1,9,0.75,0.2,4,0.075,80,2.4873,0.0353
0.33,0.034,0.026,1.5,0.1,9,0.75,0.1,4,0.075,80,2.4969,0.0166
