nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.165,0.0068,0.026,1.5,0.1,9,1.5,0.02,4,0.075,80,2.4398,0.1784
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.075,80,2.2955,0.3751
0.099,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.3221,0.1179
0.033,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.075,80,2.4297,0.1016
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.225,80,2.3002,0.1086
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.06,4,0.075,80,2.3313,0.0895
0.099,0.0068,0.13,1.5,0.1,9,1.5,0.02,4,0.075,80,2.271,0.0866
0.033,0.0068,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80,2.2995,0.0746
0.033,0.0068,0.026,1.5,0.1,9,1.5,0.06,4,0.375,80,2.1761,0.053
0.033,0.0068,0.13,1.5,0.1,9,1.5,0.02,4,0.225,80,2.2265,0.0753
0.099,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.225,80,2.4729,0.1308
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.4122,0.1813
0.165,0.0068,0.026,1.5,0.1,9,1.5,0.06,4,0.225,80,2.3263,0.1193
0.099,0.0068,0.13,1.5,0.1,9,1.5,0.02,4,0.225,80,2.2741,0.0601
0.099,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.375,80,2.1917,0.1035
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.1,4,0.225,80,2.3103,0.13
0.165,0.034,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.4464,0.1296
0.099,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.375,80,2.196,0.094
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.02,4,0.375,80,2.128,0.0721
0.165,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.375,80,2.0461,0.0487
0.165,0.0068,0.026,1.5,0.3,9,1.5,0.1,4,0.075,80,1.9711,0.0225
0.099,0.0068,0.13,1.5,0.1,9,1.5,0.02,4,0.375,80,2.1163,0.0676
0.033,0.034,0.026,1.5,0.3,9,1.5,0.1,4,0.075,80,1.9205,0.1032
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.5425,0.0534
0.033,0.0068,0.026,1.5,0.3,9,1.5,0.2,4,0.075,80,2.0894,0.1209
0.165,0.034,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,2.5243,0.0132
0.165,0.0204,0.078,1.5,0.1,9,1.5,0.1,4,0.075,80,2.4956,0.0918
0.165,0.0204,0.026,1.5,0.1,9,1.5,0.1,4,0.225,80,2.3081,0.1017
0.165,0.034,0.13,1.5,0.1,9,1.5,0.02,4,0.075,80,2.4349,0.1198
0.099,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.225,80,2.41,0.2206
0.099,0.0204,0.13,1.5,0.1,9,1.5,0.06,4,0.225,80,2.4811,0.1192
0.099,0.0204,0.078,1.5,0.3,9,1.5,0.1,4,0.075,80,2.1985,0.1377
0.099,0.0204,0.13,1.5,0.1,9,1.5,0.02,4,0.375,80,2.2113,0.0505
0.033,0.034,0.026,1.5,0.1,9,1.5,0.2,4,0.075,80,2.6844,0.1346
0.33,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,2.6628,0.1052
0.033,0.068,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,2.5993,0.0975
0.033,0.0068,0.26,1.5,0.1,9,1.5,0.1,4,0.075,80,2.5231,0.0743
0.165,0.0204,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.5072,0.148
0.165,0.034,0.026,1.5,0.1,9,1.5,0.06,4,0.375,80,2.589,0.0534
0.099,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.375,80,2.4599,0.0219
0.033,0.0204,0.13,1.5,0.1,9,1.5,0.1,4,0.375,80,2.5348,0.1078
0.165,0.0068,0.13,1.5,0.3,9,1.5,0.1,4,0.075,80,2.1862,0.305
0.099,0.0204,0.13,1.5,0.3,9,1.5,0.1,4,0.075,80,2.337,0.0925
0.165,0.034,0.026,1.5,0.3,9,1.5,0.06,4,0.225,80,1.9396,0.1442
0.099,0.034,0.026,1.5,0.1,9,1.5,0.2,4,0.075,80,2.9309,0.0401
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80,2.7213,0.1079
0.165,0.068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.7073,0.037
0.033,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80,2.4178,0.0588
0.33,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.225,80,2.5078,0.1678
0.33,0.0204,0.078,1.5,0.1,9,1.5,0.02,4,0.225,80,2.6547,0.0718
0.099,0.0068,0.078,1.5,0.3,9,1.5,0.2,4,0.075,80,2.4222,0.2419
0.033,0.0204,0.26,1.5,0.1,9,1.5,0.1,4,0.075,80,2.4718,0.1196
0.033,0.068,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80,2.7388,0.1263
0.165,0.0068,0.26,1.5,0.1,9,1.5,0.02,4,0.225,80,2.4087,0.1411
0.033,0.034,0.26,1.5,0.1,9,1.5,0.06,4,0.075,80,2.5096,0.1332
0.099,0.034,0.078,1.5,0.1,9,1.5,0.1,4,0.375,80,2.4363,0.1397
0.165,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80,2.8614,0.0296
0.165,0.0204,0.026,1.5,0.1,9,1.5,0.2,4,0.225,80,2.6728,0.1187
0.165,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.225,80,2.6481,0.1017
0.33,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.6628,0.0392
0.33,0.0204,0.078,1.5,0.1,9,1.5,0.1,4,0.075,80,2.7312,0.0608
0.165,0.068,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.5664,0.1846
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.2,4,0.375,80,2.2815,0.0964
0.33,0.0204,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80,2.4976,0.0523
0.033,0.034,0.026,1.5,0.1,9,1.5,0.2,4,0.375,80,2.4545,0.0226
0.33,0.0068,0.13,1.5,0.1,9,1.5,0.1,4,0.075,80,2.525,0.0346
0.33,0.034,0.13,1.5,0.1,9,1.5,0.02,4,0.075,80,2.4854,0.159
0.165,0.0068,0.026,1.5,0.1,9,1.5,0.2,4,0.375,80,2.313,0.3127
0.165,0.068,0.13,1.5,0.1,9,1.5,0.02,4,0.075,80,2.477,0.1522
0.33,0.034,0.078,1.5,0.1,9,1.5,0.02,4,0.225,80,2.2414,0.1253
0.099,0.068,0.078,1.5,0.1,9,1.5,0.06,4,0.225,80,2.4938,0.0461
0.099,0.0204,0.078,1.5,0.3,9,1.5,0.2,4,0.075,80,2.276,0.0468
0.165,0.068,0.026,1.5,0.1,9,1.5,0.02,4,0.375,80,2.418,0.0806
0.33,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.375,80,2.4593,0.2131
0.099,0.068,0.026,1.5,0.1,9,1.5,0.06,4,0.375,80,2.2167,0.1845
0.033,0.068,0.026,1.5,0.1,9,1.5,0.2,4,0.075,80,2.6669,0.0376
0.33,0.0068,0.026,1.5,0.1,9,1.5,0.2,4,0.075,80,2.8709,0.0353
0.165,0.034,0.078,1.5,0.1,9,1.5,0.1,4,0.375,80,2.3906,0.1481
0.165,0.034,0.13,1.5,0.3,9,1.5,0.1,4,0.075,80,2.1308,0.1327
0.33,0.034,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80,2.4763,0.1862
0.165,0.068,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80,2.4349,0.0707
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80,2.2755,0.111
0.099,0.068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.4921,0.137
0.33,0.0204,0.13,1.5,0.1,9,1.5,0.06,4,0.225,80,2.2652,0.2318
0.165,0.068,0.078,1.5,0.3,9,1.5,0.06,4,0.075,80,1.9594,0.1687
0.099,0.068,0.026,1.5,0.1,9,1.5,0.1,4,0.375,80,2.2188,0.1807
0.099,0.068,0.026,1.5,0.1,9,1.5,0.2,4,0.075,80,2.5376,0.2463
0.33,0.068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.4614,0.1685
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80,2.5193,0.2027
0.33,0.0204,0.26,1.5,0.1,9,1.5,0.02,4,0.075,80,2.3624,0.1219
0.33,0.0068,0.026,1.5,0.1,9,1.5,0.2,4,0.225,80,2.6835,0.2026
0.165,0.034,0.026,1.5,0.1,9,1.5,0.2,4,0.375,80,2.293,0.157
0.099,0.034,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80,2.2616,0.1928
0.165,0.068,0.026,1.5,0.1,9,1.5,0.1,4,0.375,80,2.3809,0.0938
0.33,0.068,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.4572,0.2651
0.33,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80,2.6027,0.0531
0.33,0.068,0.026,1.5,0.1,9,1.5,0.06,4,0.225,80,2.2969,0.1084
0.033,0.068,0.078,1.5,0.1,9,1.5,0.2,4,0.225,80,2.1392,0.1987
0.33,0.034,0.13,1.5,0.1,9,1.5,0.1,4,0.225,80,2.4856,0.1093
0.33,0.068,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80,2.5275,0.0938
0.099,0.068,0.078,1.5,0.1,9,1.5,0.2,4,0.225,80,2.5409,0.119
0.33,0.068,0.13,1.5,0.1,9,1.5,0.1,4,0.075,80,2.4909,0.1034
