nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40,0.9885,0.1153
0.099,0.0068,0.026,0.75,0.3,15,0.15,0.02,1.2,0.075,40,1.275,0.0586
0.033,0.0068,0.078,0.45,0.3,15,0.15,0.06,1.2,0.075,40,0.8605,0.246
0.033,0.0204,0.026,0.45,0.3,15,0.15,0.06,1.2,0.075,40,0.9576,0.2245
0.165,0.0068,0.026,0.75,0.1,9,0.15,0.02,2,0.075,40,0.956,0.0006
0.033,0.0068,0.026,0.75,0.5,15,0.15,0.02,1.2,0.225,40,0.9046,0.2097
0.033,0.0068,0.026,0.75,0.3,15,0.15,0.02,2,0.075,40,1.278,0.0175
0.033,0.0068,0.078,0.45,0.3,15,0.15,0.1,1.2,0.075,40,1.0598,0.0795
0.165,0.0068,0.026,0.75,0.3,9,0.15,0.02,2,0.075,40,1.37,0.1003
0.033,0.0204,0.026,0.75,0.3,9,0.15,0.02,2,0.225,40,1.27,0.0767
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40,1.1724,0.0452
0.033,0.0204,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40,1.0855,0.0916
0.033,0.0068,0.13,0.75,0.5,15,0.15,0.02,1.2,0.075,40,0.9729,0.0521
0.165,0.0068,0.078,0.45,0.5,15,0.15,0.02,1.2,0.075,40,0.9856,0.1182
0.033,0.0068,0.026,0.75,0.3,15,0.15,0.02,2,0.225,40,1.2681,0.0768
0.099,0.0068,0.078,0.45,0.5,15,0.15,0.06,1.2,0.075,40,0.831,0.3285
0.099,0.034,0.026,0.45,0.3,15,0.15,0.06,1.2,0.075,40,1.2207,0.0438
0.033,0.0204,0.026,0.75,0.3,9,0.15,0.06,2,0.225,40,1.577,0.014
0.033,0.034,0.078,0.75,0.1,9,0.15,0.06,2,0.075,40,1.1388,0.0182
0.033,0.0204,0.078,0.75,0.5,15,0.15,0.06,1.2,0.075,40,1.0706,0.0263
0.099,0.034,0.026,0.45,0.3,15,0.15,0.02,2,0.075,40,1.2661,0.0556
0.033,0.0204,0.078,0.75,0.3,15,0.15,0.02,2,0.075,40,1.0213,0.3077
0.033,0.034,0.026,0.45,0.3,15,0.15,0.02,2,0.225,40,1.271,0.0192
0.165,0.0204,0.026,0.45,0.3,15,0.15,0.1,1.2,0.075,40,1.082,0.2837
0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2,0.225,40,1.177,0.0276
0.099,0.034,0.078,0.75,0.3,9,0.15,0.02,2,0.075,40,1.3791,0.0656
0.033,0.034,0.078,0.75,0.3,9,0.15,0.02,2,0.225,40,1.4051,0.0159
0.165,0.0204,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40,1.3045,0.0397
0.165,0.0068,0.13,0.75,0.5,15,0.15,0.02,1.2,0.075,40,0.9126,0.1249
0.033,0.0068,0.026,0.75,0.5,15,0.15,0.1,2,0.075,40,1.0899,0.1161
0.033,0.0204,0.13,0.75,0.3,15,0.15,0.02,2,0.075,40,1.006,0.1072
0.165,0.0068,0.13,0.45,0.3,15,0.15,0.02,2,0.075,40,0.9879,0.0852
0.165,0.0068,0.13,0.45,0.3,15,0.15,0.1,1.2,0.075,40,0.7943,0.1777
0.033,0.034,0.026,0.45,0.5,15,0.15,0.06,2,0.075,40,0.6993,0.1695
0.099,0.0068,0.026,0.45,0.5,15,0.15,0.1,2,0.075,40,1.0119,0.2601
0.099,0.034,0.026,0.75,0.3,15,0.15,0.1,1.2,0.075,40,0.991,0.2344
0.033,0.0204,0.078,0.75,0.3,9,0.15,0.1,2,0.225,40,0.7086,0.3056
0.033,0.034,0.13,0.75,0.3,15,0.15,0.1,1.2,0.075,40,0.8357,0.2398
0.033,0.0204,0.13,0.75,0.5,15,0.15,0.1,1.2,0.075,40,0.7406,0.1607
0.099,0.0204,0.13,0.75,0.5,15,0.15,0.02,1.2,0.225,40,0.8214,0.3025
0.099,0.034,0.13,0.75,0.3,15,0.15,0.06,1.2,0.075,40,0.8347,0.1446
0.033,0.0204,0.026,0.75,0.3,15,0.15,0.1,2,0.225,40,1.217,0.069
0.165,0.0204,0.078,0.75,0.3,15,0.15,0.02,2,0.075,40,0.9963,0.3096
0.033,0.034,0.026,0.75,0.5,15,0.15,0.1,1.2,0.225,40,1.0457,0.0785
0.165,0.0068,0.026,0.75,0.3,15,0.15,0.06,2,0.225,40,0.8802,0.2109
0.033,0.0204,0.13,0.75,0.3,15,0.15,0.1,2,0.075,40,1.0031,0.0844
0.165,0.0068,0.13,0.75,0.3,15,0.15,0.06,2,0.075,40,0.9729,0.03
0.165,0.034,0.078,0.75,0.5,15,0.15,0.02,1.2,0.225,40,0.9151,0.0892
0.165,0.0204,0.078,0.75,0.5,15,0.15,0.06,1.2,0.225,40,0.9039,0.044
0.165,0.034,0.078,0.75,0.3,15,0.15,0.02,2,0.075,40,1.1168,0.041
0.099,0.034,0.078,0.75,0.3,15,0.15,0.06,2,0.225,40,0.9319,0.1733
0.165,0.034,0.13,0.75,0.5,15,0.15,0.06,1.2,0.225,40,0.8348,0.0544
0.165,0.0204,0.078,0.75,0.5,15,0.15,0.1,2,0.075,40,0.916,0.0153
0.099,0.034,0.026,0.75,0.3,3,0.45,0.02,1.2,0.075,40,0.8289,0.0334
0.099,0.0068,0.078,0.75,0.1,9,0.45,0.02,2,0.075,40,0.956,0.0079
0.033,0.0204,0.026,0.75,0.1,15,0.45,0.02,2,0.075,40,0.2471,0.0419
0.099,0.0068,0.078,0.75,0.3,15,0.45,0.02,1.2,0.075,40,1.1325,0.0421
0.099,0.0204,0.026,0.75,0.1,9,0.45,0.06,2,0.075,40,1.1749,0.0332
0.033,0.0204,0.078,0.75,0.3,9,0.45,0.02,2,0.075,40,0.1872,0.0097
0.033,0.0068,0.13,0.75,0.3,9,0.45,0.02,2,0.075,40,1.1216,0.0506
0.099,0.0068,0.026,0.75,0.1,15,0.45,0.06,2,0.075,40,1.0066,0.0245
0.165,0.0068,0.026,0.75,0.5,15,0.45,0.02,1.2,0.075,40,1.1605,0.0585
0.099,0.0068,0.078,0.75,0.1,9,0.45,0.1,2,0.075,40,1.2671,0.0061
0.099,0.0204,0.13,0.75,0.1,9,0.45,0.02,2,0.075,40,1.2337,0.0227
0.099,0.0204,0.026,0.75,0.3,15,0.45,0.02,2,0.075,40,1.3962,0.0786
0.099,0.0068,0.026,0.75,0.1,15,0.45,0.06,2,0.225,40,0.7022,0.0942
0.099,0.0204,0.026,0.45,0.3,15,0.45,0.06,2,0.075,40,0.4503,0.0039
0.099,0.0204,0.078,0.75,0.5,15,0.45,0.02,1.2,0.075,40,1.0168,0.0362
0.165,0.034,0.078,0.75,0.1,9,0.45,0.02,2,0.075,40,1.1473,0.0408
0.033,0.0204,0.13,0.75,0.3,9,0.45,0.06,2,0.075,40,1.1413,0.1436
0.033,0.034,0.078,0.75,0.1,9,0.45,0.1,2,0.075,40,1.1408,0.0258
0.099,0.0204,0.078,0.75,0.1,15,0.45,0.02,2,0.225,40,0.6779,0.2465
0.165,0.0204,0.078,0.75,0.5,15,0.45,0.02,1.2,0.075,40,1.0454,0.0664
0.165,0.0068,0.078,0.75,0.3,15,0.45,0.1,1.2,0.075,40,1.1325,0.0233
0.099,0.0204,0.078,0.75,0.3,9,0.45,0.1,2,0.075,40,0.1526,0.0006
0.165,0.0204,0.026,0.75,0.3,9,0.45,0.1,2,0.075,40,0.2262,0.0125
0.033,0.0204,0.13,0.75,0.3,15,0.45,0.06,2,0.075,40,1.2142,0.0306
0.099,0.0204,0.13,0.75,0.3,15,0.45,0.02,2,0.075,40,1.1519,0.0759
0.099,0.0068,0.026,0.75,0.3,15,0.45,0.1,2,0.225,40,1.0917,0.3476
0.165,0.0068,0.13,0.75,0.1,15,0.45,0.06,2,0.075,40,0.968,0.033
0.165,0.0068,0.026,0.75,0.3,15,0.45,0.06,2,0.225,40,1.3755,0.0292
0.165,0.0204,0.078,0.75,0.3,15,0.45,0.1,1.2,0.075,40,1.1865,0.1048
0.165,0.034,0.026,0.75,0.3,15,0.45,0.06,1.2,0.225,40,0.9145,0.3214
0.165,0.034,0.078,0.75,0.3,9,0.45,0.06,2,0.075,40,1.3755,0.0345
0.099,0.034,0.13,0.75,0.1,9,0.45,0.1,2,0.075,40,1.246,0.0089
0.033,0.034,0.026,0.75,0.3,15,0.45,0.1,2,0.225,40,1.2172,0.0124
0.099,0.0068,0.078,0.75,0.3,15,0.45,0.1,2,0.225,40,1.06,0.4031
0.033,0.034,0.13,0.45,0.3,15,0.45,0.1,2,0.075,40,0.3561,0.0523
0.165,0.034,0.13,0.75,0.1,9,0.45,0.1,2,0.075,40,1.1528,0.0046
0.099,0.034,0.026,0.75,0.3,15,0.45,0.1,2,0.225,40,1.3062,0.1567
0.099,0.0204,0.078,0.75,0.3,15,0.45,0.1,2,0.225,40,0.9416,0.3356
0.165,0.034,0.13,0.75,0.1,15,0.45,0.02,2,0.225,40,0.7853,0.2176
0.033,0.0204,0.13,0.75,0.3,15,0.45,0.1,2,0.225,40,0.951,0.3132
0.099,0.034,0.13,0.75,0.1,15,0.45,0.1,2,0.225,40,0.7127,0.1955
0.099,0.0204,0.078,0.75,0.1,15,0.75,0.02,2,0.075,40,0.9192,0.0604
0.033,0.034,0.026,0.75,0.1,15,0.75,0.06,2,0.075,40,0.248,0.0593
0.033,0.0204,0.078,0.75,0.1,15,0.75,0.06,2,0.075,40,0.6398,0.2913
0.033,0.0204,0.026,0.75,0.1,15,0.75,0.06,2,0.225,40,0.5758,0.1724
0.033,0.0204,0.078,0.75,0.1,15,0.75,0.1,2,0.075,40,0.9071,0.0484
0.099,0.034,0.026,0.75,0.1,15,0.75,0.1,2,0.075,40,1.0797,0.099
0.165,0.034,0.078,0.75,0.1,15,0.75,0.06,2,0.075,40,0.3888,0.0237
0.099,0.034,0.13,0.75,0.1,15,0.75,0.1,2,0.075,40,1.08,0.0397
