nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.165,0.0204,0.078,0.75,0.3,9,0.45,0.02,1.2,0.375,40,0,0.0131
0.33,0.068,0.26,1.5,1,30,1.5,0.2,0.4,0.75,80,0,0.0095
0.33,0.068,0.26,0.15,1,30,1.5,0.2,4,0.75,80,0,0.077
0.33,0.068,0.26,0.45,1,30,1.5,0.2,4,0.75,80,0,0.094
0.33,0.068,0.26,1.5,1,30,0.15,0.2,4,0.75,80,0.0147,0.0233
0.165,0.0068,0.13,0.15,0.1,9,0.75,0.1,2,0.225,24,0.0163,0.0113
0.033,0.0068,0.078,0.45,0.5,3,0.45,0.02,2,0.375,24,0.0222,0.1364
0.165,0.0068,0.026,0.15,0.1,9,0.15,0.02,0.4,0.375,24,0.0263,0.0091
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,80,0.0354,0.063
0.033,0.0204,0.026,0.15,0.1,15,0.15,0.02,2,0.225,24,0.047,0.0115
0.033,0.0068,0.026,0.45,0.5,9,0.45,0.06,2,0.075,24,0.0499,0.0239
0.33,0.068,0.26,1.5,1,30,1.5,0.2,4,0.75,80,0.0563,0.0191
0.099,0.0204,0.026,0.15,0.5,9,0.45,0.06,2,0.075,8,0.0587,0.1045
0.165,0.034,0.026,0.15,0.5,9,0.75,0.06,0.4,0.375,8,0.0826,0.0325
0.033,0.034,0.078,0.15,0.1,9,0.15,0.02,1.2,0.225,40,0.0845,0.0708
0.165,0.0204,0.13,0.15,0.5,15,0.75,0.1,0.4,0.075,8,0.086,0.02
0.099,0.0204,0.13,0.15,0.1,9,0.45,0.02,0.4,0.075,24,0.1032,0.0387
0.099,0.0068,0.026,0.15,0.1,15,0.75,0.06,2,0.375,8,0.1106,0.0176
0.033,0.0068,0.13,0.15,0.3,9,0.15,0.1,2,0.075,40,0.1186,0.071
0.33,0.068,0.026,1.5,1,30,1.5,0.2,4,0.75,80,0.1503,0.1533
0.033,0.034,0.026,0.45,0.5,9,0.45,0.06,1.2,0.375,8,0.1625,0.1269
0.099,0.0068,0.078,0.15,0.3,3,0.45,0.1,0.4,0.375,40,0.1776,0.042
0.033,0.0204,0.078,0.15,0.5,9,0.45,0.06,2,0.225,24,0.18,0.1263
0.099,0.0204,0.078,0.15,0.3,15,0.75,0.1,1.2,0.075,24,0.183,0.0286
0.033,0.0068,0.13,0.45,0.5,3,0.45,0.06,2,0.225,40,0.1956,0.1906
0.33,0.068,0.26,1.5,1,30,1.5,0.2,4,0.75,8,0.1963,0.012
0.099,0.0068,0.13,0.75,0.5,9,0.75,0.02,1.2,0.375,8,0.2025,0.0062
0.033,0.0068,0.026,0.15,0.1,30,0.15,0.02,0.4,0.075,8,0.2039,0.0083
0.33,0.068,0.26,1.5,1,30,1.5,0.02,4,0.75,80,0.2066,0.1477
0.33,0.0068,0.26,1.5,1,30,1.5,0.2,4,0.75,80,0.2159,0.0913
0.33,0.068,0.26,1.5,1,30,1.5,0.2,4,0.075,80,0.222,0.0529
0.099,0.0068,0.13,0.75,0.3,9,0.75,0.1,0.4,0.375,8,0.2322,0.0176
0.165,0.0204,0.026,0.45,0.1,9,0.15,0.1,0.4,0.375,8,0.2418,0.0478
0.099,0.0204,0.026,0.45,0.1,9,0.45,0.02,0.4,0.075,8,0.2459,0.1262
0.165,0.034,0.13,0.45,0.1,3,0.75,0.06,1.2,0.375,24,0.25,0.0264
0.033,0.0204,0.13,0.75,0.5,15,0.45,0.02,0.4,0.225,8,0.2532,0.0505
0.033,0.0204,0.078,0.45,0.1,9,0.15,0.1,2,0.225,40,0.2605,0.0613
0.165,0.034,0.13,0.15,0.3,9,0.15,0.06,2,0.075,8,0.2625,0.0092
0.033,0.034,0.026,0.45,0.3,9,0.45,0.06,1.2,0.075,24,0.2677,0.2052
0.033,0.0204,0.026,0.45,0.5,9,0.45,0.06,1.2,0.225,24,0.2961,0.1997
0.033,0.068,0.26,1.5,1,30,1.5,0.2,4,0.75,80,0.3075,0.2236
0.033,0.0204,0.026,0.75,0.1,15,0.75,0.06,2,0.075,24,0.3126,0.0513
0.033,0.0068,0.026,0.75,0.5,3,0.75,0.06,1.2,0.075,8,0.3184,0.0252
0.033,0.0068,0.078,0.45,0.1,9,0.45,0.06,0.4,0.375,8,0.3186,0.0765
0.165,0.0204,0.078,0.45,0.3,9,0.45,0.1,0.4,0.225,24,0.3448,0.2362
0.165,0.034,0.078,0.15,0.1,3,0.75,0.1,1.2,0.075,8,0.3501,0.0866
0.033,0.0204,0.078,0.15,0.3,15,0.45,0.06,1.2,0.375,24,0.3568,0.1317
0.033,0.0068,0.026,0.15,0.5,15,0.45,0.02,1.2,0.375,8,0.3686,0.2002
0.033,0.0068,0.026,1.5,0.1,3,0.15,0.02,0.4,0.075,8,0.3701,0.0853
0.165,0.034,0.026,0.45,0.5,9,0.15,0.1,2,0.225,8,0.3714,0.0154
0.033,0.034,0.078,0.45,0.5,9,0.15,0.02,2,0.375,8,0.3744,0.0377
0.033,0.0204,0.026,0.15,0.3,15,0.45,0.02,0.4,0.225,24,0.379,0.2566
0.33,0.068,0.26,1.5,1,3,1.5,0.2,4,0.75,80,0.3796,0.0297
0.033,0.0204,0.026,0.45,0.3,15,0.75,0.1,0.4,0.075,8,0.3857,0.0291
0.33,0.0068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.075,8,0.3981,0.0779
0.099,0.034,0.078,0.45,0.5,3,0.15,0.06,2,0.225,40,0.4011,0.0096
0.033,0.034,0.026,0.45,0.5,15,0.45,0.02,0.4,0.225,24,0.4039,0.2491
0.033,0.0068,0.026,0.45,0.1,3,0.45,0.02,2,0.225,24,0.418,0.0316
0.033,0.0204,0.026,0.45,0.5,15,0.75,0.1,0.4,0.375,24,0.4406,0.0405
0.099,0.034,0.026,0.45,0.5,15,0.15,0.02,0.4,0.075,24,0.458,0.076
0.033,0.0068,0.026,0.15,0.1,3,1.5,0.02,0.4,0.075,8,0.4677,0.0175
0.033,0.034,0.078,0.75,0.5,3,0.75,0.1,2,0.225,40,0.4824,0.0421
0.033,0.034,0.078,0.45,0.5,15,0.15,0.06,2,0.075,8,0.485,0.0379
0.033,0.034,0.026,0.45,0.3,9,0.45,0.02,0.4,0.225,24,0.4907,0.2717
0.099,0.034,0.13,0.75,0.1,3,0.15,0.02,0.4,0.225,8,0.4984,0.0261
0.165,0.034,0.13,0.45,0.1,15,0.75,0.02,2,0.075,40,0.4985,0.0168
0.165,0.0204,0.026,0.45,0.3,3,0.45,0.1,1.2,0.225,40,0.5049,0.2377
0.033,0.0068,0.026,0.15,1,3,0.15,0.02,0.4,0.075,8,0.5111,0.0894
0.033,0.034,0.078,0.15,0.5,3,0.75,0.02,2,0.075,8,0.5125,0.0177
0.099,0.0068,0.026,0.75,0.3,15,0.15,0.02,2,0.225,24,0.5185,0.0253
0.033,0.0068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.075,80,0.5294,0.0772
0.099,0.0068,0.026,0.45,0.3,9,0.75,0.02,0.4,0.375,40,0.5313,0.051
0.033,0.0204,0.026,0.45,0.5,3,0.15,0.1,1.2,0.225,8,0.5339,0.0275
0.033,0.0204,0.026,0.45,0.3,15,0.15,0.1,0.4,0.375,8,0.5341,0.0438
0.033,0.0068,0.026,0.15,0.1,3,0.75,0.1,2,0.225,8,0.5384,0.0941
0.099,0.0204,0.078,0.15,0.5,3,0.45,0.1,1.2,0.225,8,0.5511,0.0214
0.033,0.034,0.078,0.75,0.3,15,0.75,0.02,0.4,0.225,24,0.5634,0.0328
0.033,0.0068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.75,8,0.5655,0.1227
0.033,0.0068,0.26,0.15,0.1,3,0.15,0.02,0.4,0.075,8,0.5674,0.121
0.165,0.0068,0.078,0.75,0.1,3,0.15,0.1,2,0.075,8,0.5738,0.0108
0.165,0.0204,0.078,0.75,0.5,3,0.15,0.1,1.2,0.075,40,0.5782,0.0197
0.033,0.0068,0.026,0.15,0.1,3,0.15,0.2,0.4,0.075,8,0.5866,0.0696
0.033,0.068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.075,8,0.5925,0.1078
0.033,0.0068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.075,8,0.6036,0.0716
0.033,0.034,0.078,0.75,0.5,3,0.15,0.02,0.4,0.225,40,0.6077,0.059
0.099,0.034,0.13,0.15,0.3,3,0.15,0.06,1.2,0.225,8,0.6119,0.038
0.165,0.0204,0.078,0.75,0.5,15,0.75,0.02,2,0.075,40,0.6178,0.3364
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,1.2,0.375,40,0.6337,0.1946
0.033,0.0204,0.13,0.45,0.3,15,0.45,0.1,0.4,0.075,40,0.646,0.0203
0.033,0.0068,0.026,0.15,0.1,3,0.15,0.02,4,0.075,8,0.7058,0.0272
0.165,0.0068,0.078,0.75,0.3,3,0.15,0.02,1.2,0.075,40,0.7139,0.095
0.033,0.0204,0.13,0.75,0.3,9,0.15,0.02,1.2,0.225,40,0.7356,0.0247
0.099,0.034,0.078,0.75,0.5,9,0.45,0.1,2,0.225,24,0.7801,0.085
0.033,0.034,0.13,0.75,0.5,15,0.15,0.06,2,0.225,40,0.7828,0.0492
0.033,0.0204,0.026,0.45,0.5,15,0.75,0.1,1.2,0.225,40,0.8109,0.0415
0.033,0.0068,0.026,0.75,0.3,15,0.75,0.02,2,0.375,24,0.8326,0.0585
0.165,0.0204,0.078,0.75,0.5,9,0.15,0.02,0.4,0.375,40,0.8742,0.2105
0.099,0.034,0.026,0.75,0.3,15,0.75,0.02,1.2,0.375,40,1,0.021
0.165,0.034,0.026,0.75,0.5,15,0.45,0.02,2,0.225,40,1.006,0.0393
