nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,1.5,0.1,9,0.15,0.02,2,0.075,80,1.0398,0.0136
0.033,0.0068,0.078,1.5,0.3,9,0.15,0.06,4,0.225,80,1.6724,0.0057
0.033,0.0068,0.26,1.5,0.1,9,0.15,0.02,4,0.075,80,1.3691,0.0373
0.099,0.0204,0.078,1.5,0.3,9,0.15,0.02,4,0.225,80,1.7204,0.0281
0.033,0.0068,0.13,1.5,0.1,9,0.15,0.1,4,0.225,80,1.4517,0.0183
0.033,0.0204,0.026,1.5,0.5,9,0.15,0.1,4,0.225,80,1.4396,0.0242
0.033,0.034,0.078,1.5,0.3,9,0.15,0.06,4,0.225,80,1.6744,0.0785
0.033,0.068,0.078,1.5,0.1,9,0.15,0.02,4,0.225,80,1.3195,0.1469
0.33,0.0068,0.026,1.5,0.1,9,0.15,0.06,4,0.225,80,1.4571,0.0549
0.033,0.034,0.078,1.5,0.5,9,0.15,0.06,4,0.225,80,1.2738,0.022
0.33,0.0068,0.13,1.5,0.1,9,0.15,0.06,4,0.075,80,1.4325,0.1441
0.033,0.0068,0.13,1.5,1,9,0.15,0.06,4,0.075,80,0.2034,0.0513
0.033,0.0204,0.026,1.5,0.3,9,0.15,0.2,4,0.225,80,1.6212,0.1404
0.33,0.0204,0.026,1.5,0.3,9,0.15,0.02,4,0.225,80,1.6816,0.0431
0.033,0.068,0.026,1.5,0.5,9,0.15,0.06,4,0.225,80,1.366,0.0987
0.165,0.0068,0.13,1.5,0.1,9,0.15,0.2,4,0.075,80,1.4243,0.0731
0.33,0.0068,0.13,1.5,0.3,9,0.15,0.06,4,0.075,80,1.7221,0.0925
0.033,0.068,0.078,1.5,0.3,9,0.15,0.06,4,0.225,80,1.7162,0.0672
0.099,0.0204,0.026,1.5,1,9,0.15,0.06,4,0.225,80,0.1328,0.0136
0.099,0.0204,0.078,1.5,1,9,0.15,0.1,4,0.075,80,0.1818,0.0095
0.099,0.068,0.026,1.5,0.3,9,0.15,0.1,4,0.225,80,1.7348,0.0425
0.33,0.0204,0.13,1.5,0.1,9,0.15,0.1,4,0.075,80,1.5086,0.0749
0.33,0.034,0.13,1.5,0.3,9,0.15,0.02,4,0.075,80,1.6369,0.0576
0.033,0.068,0.026,1.5,0.5,9,0.15,0.1,4,0.225,80,1.401,0.0714
0.099,0.068,0.026,1.5,0.5,9,0.15,0.06,4,0.225,80,1.4155,0.038
0.165,0.068,0.026,1.5,0.5,9,0.15,0.02,4,0.225,80,1.4025,0.0304
0.033,0.0204,0.13,1.5,1,9,0.15,0.1,4,0.075,80,0.2244,0.0403
0.33,0.0068,0.13,1.5,0.3,9,0.15,0.1,4,0.075,80,1.6845,0.1245
0.099,0.034,0.026,1.5,0.3,9,0.15,0.2,4,0.225,80,1.6957,0.0943
0.099,0.068,0.078,1.5,0.3,9,0.15,0.06,4,0.225,80,1.6318,0.0845
0.165,0.0204,0.026,1.5,0.3,9,0.15,0.2,4,0.225,80,1.6801,0.0411
0.033,0.068,0.13,1.5,0.1,9,0.15,0.1,4,0.225,80,1.3212,0.0199
0.033,0.0068,0.078,1.5,1,9,0.15,0.2,4,0.075,80,0.2316,0.0375
0.033,0.068,0.26,1.5,0.1,9,0.15,0.06,4,0.075,80,1.3073,0.0668
0.099,0.0204,0.13,1.5,0.5,9,0.15,0.2,4,0.075,80,1.4261,0.0678
0.099,0.0204,0.13,1.5,1,9,0.15,0.1,4,0.075,80,0.2683,0.0651
0.165,0.068,0.026,1.5,0.5,9,0.15,0.1,4,0.225,80,1.453,0.0055
0.33,0.0204,0.078,1.5,0.3,9,0.15,0.2,4,0.075,80,1.5429,0.0085
0.165,0.0068,0.078,1.5,1,9,0.15,0.2,4,0.075,80,0.1815,0.0288
0.099,0.068,0.026,1.5,1,9,0.15,0.06,4,0.225,80,0.107,0.0188
0.33,0.068,0.078,1.5,0.5,9,0.15,0.06,4,0.075,80,1.5416,0.0689
0.165,0.068,0.13,1.5,0.1,9,0.15,0.2,4,0.075,80,1.4936,0.0416
0.033,0.068,0.13,1.5,1,9,0.15,0.1,4,0.075,80,0.3051,0.067
0.165,0.0204,0.078,1.5,1,9,0.15,0.2,4,0.075,80,0.242,0.0619
0.165,0.068,0.13,1.5,1,9,0.15,0.1,4,0.075,80,0.2494,0.074
0.33,0.034,0.026,1.5,1,9,0.15,0.2,4,0.075,80,0.1997,0.0495
0.33,0.0204,0.078,1.5,1,9,0.15,0.2,4,0.075,80,0.2546,0.0374
0.165,0.068,0.078,1.5,1,9,0.15,0.2,4,0.075,80,0.2989,0.0178
0.033,0.0204,0.026,1.5,0.1,9,0.45,0.02,4,0.225,80,1.784,0.0049
