nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.45,0.1,15,0.15,0.06,0.4,0.075,40,0.5446,0.0324
0.033,0.0204,0.026,0.75,0.1,9,0.15,0.06,0.4,0.075,40,0.8231,0.0548
0.165,0.0068,0.026,0.75,0.1,3,0.15,0.02,1.2,0.075,40,0.696,0.0259
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.02,1.2,0.075,40,0.8911,0.0685
0.165,0.0068,0.026,0.45,0.1,9,0.15,0.02,1.2,0.075,40,0.6059,0.0771
0.165,0.0068,0.026,0.45,0.1,3,0.15,0.02,2,0.075,40,0.7122,0.1198
0.033,0.0068,0.026,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.4785,0.1135
0.033,0.034,0.026,0.15,0.1,15,0.15,0.02,1.2,0.075,40,0.5206,0.0296
0.033,0.034,0.026,0.75,0.1,9,0.15,0.02,1.2,0.075,40,1.0372,0.0406
0.033,0.0068,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40,1.077,0.019
0.033,0.034,0.026,0.15,0.1,9,0.15,0.02,2,0.075,40,0.4469,0.0041
0.033,0.0068,0.026,0.45,0.1,15,0.15,0.02,2,0.075,40,0.9358,0.0434
0.033,0.0068,0.078,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.562,0.0762
0.165,0.0068,0.026,0.75,0.1,15,0.15,0.06,0.4,0.075,40,0.0892,0.0152
0.099,0.034,0.026,0.75,0.1,15,0.15,0.02,0.4,0.075,40,0.1394,0.0487
0.033,0.0204,0.026,0.15,0.1,15,0.15,0.02,2,0.075,40,0.6124,0.0061
0.033,0.0204,0.078,0.75,0.1,15,0.15,0.06,0.4,0.075,40,0.2666,0.0608
0.165,0.0204,0.026,0.15,0.1,15,0.15,0.02,1.2,0.075,40,0.6021,0.0053
0.033,0.0204,0.078,0.45,0.1,15,0.15,0.02,1.2,0.075,40,0.7816,0.0223
0.033,0.0204,0.026,0.75,0.1,9,0.15,0.02,2,0.075,40,1.1268,0.0329
0.099,0.0068,0.026,0.45,0.1,9,0.15,0.06,2,0.075,40,0.8262,0.034
0.165,0.0204,0.026,0.75,0.1,9,0.15,0.1,0.4,0.075,40,0.8392,0.0189
0.099,0.0204,0.026,0.75,0.1,3,0.15,0.06,2,0.075,40,0.9347,0.0137
0.099,0.0068,0.026,0.45,0.1,15,0.15,0.02,2,0.075,40,0.9809,0.0189
0.099,0.0068,0.026,0.75,0.3,15,0.15,0.02,1.2,0.075,40,1.2295,0.0446
0.033,0.0068,0.026,0.75,0.3,15,0.15,0.06,1.2,0.075,40,1.257,0.0468
0.099,0.0204,0.026,0.45,0.1,15,0.15,0.06,1.2,0.075,40,0.8441,0.0276
0.033,0.0068,0.026,0.75,0.1,15,0.15,0.06,1.2,0.225,40,0.3345,0.1634
0.165,0.0204,0.026,0.45,0.1,15,0.15,0.1,0.4,0.075,40,0.5861,0.0776
0.099,0.0068,0.026,0.75,0.3,9,0.15,0.02,2,0.075,40,1.3018,0.0885
0.033,0.0068,0.026,0.75,0.3,9,0.15,0.06,2,0.075,40,1.4054,0.0751
0.033,0.0068,0.026,0.75,0.1,15,0.15,0.02,2,0.225,40,0.6706,0.1292
0.033,0.0068,0.026,0.45,0.1,15,0.15,0.1,2,0.075,40,0.9197,0.0717
0.033,0.034,0.078,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.602,0.1092
0.165,0.0068,0.026,0.75,0.3,15,0.15,0.02,1.2,0.075,40,1.1409,0.0209
0.099,0.034,0.026,0.75,0.1,15,0.15,0.1,0.4,0.075,40,0.1772,0.0596
0.033,0.0204,0.078,0.75,0.1,15,0.15,0.06,1.2,0.075,40,0.6463,0.08
0.165,0.0204,0.026,0.45,0.1,15,0.15,0.06,1.2,0.075,40,0.8124,0.0401
0.033,0.034,0.026,0.15,0.1,15,0.15,0.06,2,0.075,40,0.5921,0.0256
0.165,0.0068,0.078,0.75,0.1,15,0.15,0.1,0.4,0.075,40,0.1395,0.1042
0.099,0.034,0.026,0.75,0.1,9,0.15,0.02,2,0.075,40,1.0773,0.0484
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40,1.0691,0.0224
0.033,0.0204,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40,1.0541,0.0585
0.099,0.0068,0.078,0.75,0.1,9,0.15,0.06,2,0.075,40,1.0179,0.0364
0.033,0.0068,0.026,0.75,0.1,15,0.15,0.1,2,0.075,40,0.5527,0.2623
0.165,0.0068,0.026,0.75,0.1,15,0.15,0.1,1.2,0.075,40,0.0619,0.0085
0.099,0.0068,0.078,0.75,0.1,15,0.15,0.02,2,0.075,40,0.5752,0.2062
0.165,0.034,0.026,0.45,0.1,15,0.15,0.06,1.2,0.075,40,0.6407,0.1557
0.165,0.034,0.026,0.15,0.1,15,0.15,0.02,2,0.075,40,0.7213,0.0419
0.099,0.034,0.078,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.23,0.1592
0.099,0.0204,0.026,0.75,0.3,15,0.15,0.06,1.2,0.075,40,1.1349,0.1014
0.099,0.0068,0.026,0.75,0.3,15,0.15,0.1,1.2,0.075,40,1.0961,0.1045
0.165,0.034,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40,0.92,0.0448
0.099,0.034,0.078,0.75,0.1,9,0.15,0.02,2,0.075,40,1.0487,0.0228
0.165,0.0204,0.026,0.45,0.1,9,0.15,0.1,2,0.075,40,0.8285,0.0159
0.099,0.0204,0.026,0.75,0.3,9,0.15,0.06,2,0.075,40,1.3034,0.0091
0.099,0.034,0.026,0.75,0.1,15,0.15,0.02,2,0.075,40,0.3882,0.0549
0.033,0.0204,0.026,0.75,0.1,15,0.15,0.1,2,0.075,40,0.5673,0.0254
0.099,0.0204,0.078,0.75,0.1,15,0.15,0.02,2,0.075,40,0.5624,0.2278
0.033,0.034,0.026,0.45,0.1,15,0.15,0.1,2,0.075,40,0.6966,0.0716
