nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8,0.5005,0.0125
0.033,0.034,0.026,0.75,0.3,3,0.15,0.06,1.2,0.075,8,0.4967,0.0131
0.033,0.034,0.026,0.75,0.1,3,0.15,0.1,1.2,0.075,8,0.4774,0.0064
0.033,0.034,0.078,0.75,0.3,3,0.15,0.1,0.4,0.075,8,0.4678,0.0074
0.033,0.0204,0.026,0.75,0.5,3,0.15,0.02,1.2,0.075,24,0.713,0.0221
0.033,0.0068,0.026,0.75,0.5,3,0.15,0.06,0.4,0.075,40,0.984,0.0226
0.033,0.034,0.026,0.75,0.1,9,0.15,0.02,1.2,0.075,24,0.6668,0.0087
0.033,0.034,0.078,0.75,0.3,3,0.15,0.02,1.2,0.075,24,0.6383,0.0298
0.033,0.034,0.026,0.75,0.1,9,0.15,0.06,0.4,0.075,40,0.7758,0.0221
0.033,0.034,0.026,0.75,0.1,9,0.15,0.06,2,0.075,8,0.5377,0.0147
0.033,0.034,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,40,1.0398,0.0771
0.033,0.034,0.026,0.75,0.3,3,0.15,0.1,2,0.075,8,0.5243,0.0098
0.033,0.0204,0.026,0.75,0.1,3,0.15,0.1,1.2,0.075,40,0.9102,0.0657
0.033,0.034,0.026,0.75,0.5,9,0.15,0.1,1.2,0.075,8,0.5179,0.0185
0.033,0.034,0.026,0.75,0.5,3,0.15,0.02,1.2,0.075,40,1.0035,0.0292
0.033,0.034,0.026,0.75,0.5,3,0.15,0.02,2,0.075,24,0.7493,0.0186
0.033,0.034,0.026,0.75,0.3,3,0.15,0.06,1.2,0.075,40,1.0237,0.0193
0.033,0.034,0.026,0.75,0.3,3,0.15,0.06,2,0.075,24,0.7582,0.0033
0.033,0.034,0.078,0.75,0.3,3,0.15,0.02,2,0.075,24,0.7141,0.0388
