PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
4,2.5,0.4,0,0.04,0.75,0.02,10,0,1,0,0,11254.93,598.6436506
4,2.5,0.4,0,0.04,0.75,0.01,10,0,1,0,0,3377.5,207.9868878
4,2.5,0.2,0,0.04,0.75,0.02,10,0,1,0,0,6423.09,246.2308888
4,2.5,0.2,0,0.04,0.75,0.04,10,0,1,0,0,190521.96,80010.99835
4,3,0.4,0,0.04,0.75,0.02,10,0,1,0,0,5034.2,77.10748647
4,3,0.4,0,0.04,0.75,0.01,10,0,1,0,0,2725.07,655.0032352
4,2,0.4,0,0.04,0.75,0.04,10,0,1,0,0,126888.56,9899.531452
4,2,0.4,0,0.04,0.75,0.01,10,0,1,0,0,3053.68,504.2861314
4,2,0.2,0,0.04,0.75,0.01,10,0,1,0,0,5407.18,1637.68424
4,2,0.2,0,0.04,0.75,0.02,10,0,1,0,0,6976.18,1081.784005
4,1.5,0.4,0,0.04,0.75,0.02,10,0,1,0,0,7841.09,548.6354994
4,1.5,0.4,0,0.04,0.75,0.01,10,0,1,0,0,6139.91,1031.053539
4,0.5,0.4,0,0.04,0.75,0.04,10,0,1,0,0,256280.14,108832.2551
4,0.5,0.4,0,0.04,0.75,0.02,10,0,1,0,0,10913.19,699.2207091
4,0.5,0.4,0,0.04,0.75,0.01,10,0,1,0,0,5108.58,651.5915197
4,1.5,0.2,0,0.04,0.75,0.01,10,0,1,0,0,6784.56,1876.038829
4,1.5,0.2,0,0.04,0.75,0.02,10,0,1,0,0,6001.89,2963.750052
4,0.5,0.2,0,0.04,0.75,0.01,10,0,1,0,0,6152.71,2044.711044
4,0.5,0.2,0,0.04,0.75,0.02,10,0,1,0,0,8005.53,1415.895254
4,0.5,0.2,0,0.04,0.75,0.04,10,0,1,0,0,111506.11,43598.46614
