PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
4,2.5,0.4,0,0.04,0.75,0.02,10,0,1,0,0,5.57,0.160683649
4,2.5,0.4,0,0.04,0.75,0.01,10,0,1,0,0,2.5,0.121192836
4,2.5,0.2,0,0.04,0.75,0.02,10,0,1,0,0,3.83,0.187209974
4,2.5,0.2,0,0.04,0.75,0.04,10,0,1,0,0,107.5,53.20621493
4,3,0.4,0,0.04,0.75,0.02,10,0,1,0,0,3.89,0.155731065
4,3,0.4,0,0.04,0.75,0.01,10,0,1,0,0,2.31,0.196433453
4,2,0.4,0,0.04,0.75,0.04,10,0,1,0,0,60.43,7.487204948
4,2,0.4,0,0.04,0.75,0.01,10,0,1,0,0,2.34,0.119722495
4,2,0.2,0,0.04,0.75,0.01,10,0,1,0,0,3.09,0.363254061
4,2,0.2,0,0.04,0.75,0.02,10,0,1,0,0,4.59,0.249753017
4,1.5,0.4,0,0.04,0.75,0.02,10,0,1,0,0,5.28,0.28635766
4,1.5,0.4,0,0.04,0.75,0.01,10,0,1,0,0,3.36,0.358805977
4,0.5,0.4,0,0.04,0.75,0.04,10,0,1,0,0,123.09,48.6800106
4,0.5,0.4,0,0.04,0.75,0.02,10,0,1,0,0,4.61,0.147312583
4,0.5,0.4,0,0.04,0.75,0.01,10,0,1,0,0,3.19,0.183200158
4,1.5,0.2,0,0.04,0.75,0.01,10,0,1,0,0,3.3,0.448671084
4,1.5,0.2,0,0.04,0.75,0.02,10,0,1,0,0,3.51,0.849960351
4,0.5,0.2,0,0.04,0.75,0.01,10,0,1,0,0,3.16,0.517267161
4,0.5,0.2,0,0.04,0.75,0.02,10,0,1,0,0,3.96,0.438191383
4,0.5,0.2,0,0.04,0.75,0.04,10,0,1,0,0,47.78,14.92717839
