HEPES,HEPES_pH8.0,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH7.2,HEPES_pH7.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,yield,yield_std
150,0,0,1,0,0,0,17.5,10,10,5,0.25,0.2,0,3.75,0.287025,0.6167,4.467,0.6083,17.4365,4.416,35.9964,1.06785,2.8825,26.00815,0.8508,1.592,1.6413,72.8,0.03335,1.1047,0.39216,96.78688333,30.36501054
175,0,1,0,0,0,0,5,10,10,20,0.25,0.1,1,6.25,0.3827,0.30835,2.978,0.30415,17.4365,3.312,4.7268,2.1357,1.7295,2.7377,0.8508,1.592,5.74455,4.368,0.016675,0.828525,3.13725,66.23622333,1.902439307
25,0,0,1,0,0,0,20,60,60,100,0.5,0,3,7.5,0.3827,2.4668,4.467,0.91245,9.590075,2.208,3.636,3.20355,0.5765,13.6885,1.1344,2.786,4.10325,40.768,0.116725,2.485575,2.74509,200.3277667,24.5735222
150,0,0,0,0,0,1,25,2.5,100,100,1,0,2,2.5,1.243775,1.54175,5.2115,2.12905,1.74365,2.76,1.818,3.737475,2.8825,46.5409,1.9852,3.582,6.5652,13.104,0.1334,0.276175,3.13725,222.5936,33.09187431
75,0,0,1,0,0,0,7.5,0,2.5,100,0.25,0.4,0,3.75,0.095675,0.30835,2.978,0.456225,0.871825,3.864,0.3636,3.737475,2.01775,9.58195,0.5672,4.776,4.10325,5.824,0.1334,1.933225,1.96078,13.06377333,3.475022927
75,0,1,0,0,0,0,22.5,20,5,40,3,0.8,10,7.5,1.243775,3.0835,5.2115,1.2166,2.615475,0.552,3.636,0.533925,0.86475,26.00815,0.8508,1.99,1.6413,23.296,0.16675,1.1047,1.96078,26.31753333,0.741893136
25,0,0,0,0,1,0,22.5,40,20,10,5,0.6,6,5,0.478375,2.77515,5.2115,1.2166,17.4365,4.416,4.7268,4.805325,0.86475,9.58195,2.2688,0.796,7.38585,4.368,0.10005,2.485575,1.56862,69.83833333,4.300268645
200,0,0,0,0,0,1,12.5,20,2.5,80,3,0.6,1,3.75,1.243775,0.92505,0.7445,0.91245,1.74365,3.312,11.2716,2.669625,0.5765,9.58195,1.418,1.99,4.10325,13.104,0.0667,0.828525,0.78431,33.20969333,16.99196484
100,0,0,0,1,0,0,7.5,10,20,20,3,0.1,4,2.5,4.01835,1.8501,6.7005,1.2166,17.4365,3.864,1.818,1.06785,0.28825,113.61455,0.5672,3.582,7.38585,53.872,0.0667,0.55235,3.13725,335.4787667,85.0768024
125,1,0,0,0,0,0,17.5,80,2.5,2.5,0.25,1,10,10,2.2962,0.30835,2.2335,0.6083,13.077375,2.76,8.3628,4.805325,2.306,5.4754,0.2836,4.776,4.10325,5.824,0.03335,0.55235,0.78431,143.7160333,17.89416818
25,0,0,0,0,0,1,15,5,5,5,2,0.1,10,3.75,1.72215,1.2334,2.2335,2.889425,5.23095,1.656,11.2716,1.06785,2.59425,26.00815,0.8508,3.582,2.46195,40.768,0.050025,1.933225,0.78431,13.20743,2.64229003
125,0,0,0,0,1,0,20,20,2.5,20,3,0.6,3,5,4.01835,1.8501,4.467,2.12905,3.4873,1.104,3.636,2.669625,2.306,13.6885,1.1344,14.726,1.6413,13.104,0.16675,0.828525,3.5294,71.76942667,13.04589386
200,1,0,0,0,0,0,22.5,40,100,60,0.5,0.1,1,2.5,0.095675,3.0835,2.978,1.2166,13.077375,1.656,11.2716,3.20355,2.306,46.5409,1.7016,1.99,4.9239,1.456,0.016675,1.380875,0.39216,112.5296,8.568731615
75,0,0,0,0,1,0,20,0,60,0,2,1,2,8.75,0.3827,2.4668,0.7445,1.2166,1.74365,4.416,26.9064,1.601775,2.01775,5.4754,1.418,11.144,2.46195,23.296,0.1334,1.933225,1.17647,49.60393333,4.710236002
150,0,0,0,0,0,1,25,2.5,100,0,4,0,4,8.75,3.0616,2.15845,1.489,0.6083,17.4365,1.656,26.9064,0.533925,1.153,9.58195,2.836,3.582,3.2826,1.456,0.16675,1.65705,2.35294,224.1362333,1.67370516
200,1,0,0,0,0,0,25,2.5,40,100,4,0.2,9,5,0.287025,0.30835,6.7005,0.91245,13.077375,2.76,0.3636,4.805325,0.5765,5.4754,0.8508,19.9,7.38585,5.824,0.150075,0.276175,3.13725,86.11584,8.346612166
125,0,0,0,1,0,0,0,5,20,20,0.5,0.8,2,8.75,3.0616,1.54175,3.7225,1.52075,0.871825,2.208,1.4544,4.805325,2.59425,113.61455,2.836,1.592,0.82065,2.912,0.03335,2.485575,0.78431,51.69318333,15.54480586
25,0,0,1,0,0,0,20,0,100,5,0.25,0.2,5,3.75,0.287025,1.54175,4.467,2.12905,13.077375,3.864,2.5452,5.33925,0.5765,62.9671,1.418,8.358,3.2826,5.824,0.1334,1.380875,1.17647,121.3025333,13.12920382
150,0,1,0,0,0,0,2.5,5,2.5,40,3,0,3,8.75,2.2962,2.4668,3.7225,0.91245,13.077375,4.968,6.1812,1.06785,1.153,1.36885,0.5672,6.368,3.2826,30.576,0.10005,1.933225,0.39216,47.44787667,4.692070855
50,0,0,1,0,0,0,0,0,60,100,1,0,9,3.75,4.01835,2.4668,3.7225,2.889425,9.590075,4.416,2.5452,3.20355,0.5765,4.10655,1.1344,3.582,8.2065,23.296,0.0667,1.65705,3.13725,104.3121033,14.79249901
150,0,0,1,0,0,0,0,100,10,2.5,0,0.4,0,7.5,0.669725,1.54175,5.2115,2.12905,6.9746,3.312,1.0908,5.33925,2.306,5.4754,1.9852,14.726,0.82065,10.192,0.050025,2.485575,1.96078,28.05218667,1.617432649
125,0,0,0,0,0,1,20,5,20,5,0.5,0.4,9,8.75,0.669725,1.54175,5.956,0.152075,9.590075,1.656,6.1812,4.2714,1.44125,19.1639,0.5672,0.796,6.5652,5.824,0.1334,1.380875,0.78431,140.3968333,0.223905032
125,0,0,0,0,1,0,15,0,60,5,0.5,1,8,3.75,0.287025,1.2334,2.978,2.889425,2.615475,3.312,0.7272,2.669625,2.8825,6.84425,1.418,4.776,5.74455,13.104,0.050025,1.1047,3.5294,80.78705667,6.208760041
25,0,1,0,0,0,0,12.5,5,2.5,20,4,0.1,9,8.75,0.3827,1.2334,5.2115,1.52075,2.615475,0.552,0.7272,5.33925,2.306,26.00815,0.8508,14.726,0.82065,23.296,0.016675,0.276175,0.78431,3.336105667,2.916450578
100,0,0,0,0,0,1,7.5,80,60,5,0.5,1,3,1.25,0.287025,1.2334,5.2115,0.91245,17.4365,1.104,4.7268,0.533925,2.59425,62.9671,1.1344,0.796,3.2826,2.912,0.03335,2.485575,2.74509,93.12559333,12.74124486
200,1,0,0,0,0,0,2.5,100,20,80,5,0.1,3,8.75,2.2962,1.2334,0.7445,0.30415,3.4873,1.104,8.3628,2.1357,1.7295,1.36885,0.2836,3.582,1.6413,7.28,0.10005,0.828525,1.96078,101.69441,20.95300409
75,0,1,0,0,0,0,2.5,10,10,20,0.5,0.6,6,6.25,5.3578,1.2334,4.467,2.12905,6.9746,1.656,1.818,5.33925,2.8825,2.7377,2.5524,0.398,3.2826,5.824,0.16675,0.55235,1.17647,93.44989,12.16604122
25,1,0,0,0,0,0,0,0,5,2.5,0.25,0.6,2,10,0.3827,1.2334,1.489,0.30415,1.74365,3.864,26.9064,0.533925,0.28825,5.4754,2.2688,4.776,4.9239,53.872,0.016675,2.2094,2.35294,81.52608,36.17929873
100,1,0,0,0,0,0,22.5,2.5,60,60,3,0.1,6,5,5.3578,0.92505,6.7005,2.889425,13.077375,4.968,3.636,0.533925,2.306,6.84425,0.8508,1.592,1.6413,7.28,0.050025,1.380875,2.74509,206.6704,12.1728678
75,1,0,0,0,0,0,15,0,2.5,40,0.5,0.1,2,7.5,0.3827,2.15845,3.7225,0.30415,6.9746,3.864,2.5452,5.33925,1.7295,6.84425,2.2688,14.726,0.82065,40.768,0.10005,0.55235,1.96078,242.0497,20.52845582
25,0,0,0,0,1,0,15,10,40,40,2,0.2,1,6.25,0.19135,0.30835,0.7445,0.91245,0.871825,2.208,11.2716,3.737475,2.306,5.4754,0.5672,2.786,1.6413,23.296,0.03335,0.828525,3.5294,69.36148,12.49126486
150,0,0,0,0,0,1,10,80,20,2.5,4,0.2,8,3.75,1.243775,0.30835,5.2115,0.6083,5.23095,1.656,0.3636,4.2714,0.5765,34.22125,2.836,6.368,3.2826,13.104,0.050025,1.380875,1.96078,316.6571667,19.59047815
