HEPES,HEPES_pH7.0,HEPES_pH7.2,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH8.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,Value_1,Value_2,Value_3,yield,yield_std
175,0,0,0,0,1,0,2.5,0,20,20,0.5,0.1,8,7.5,0.478375,1.8501,2.2335,0.91245,5.23095,2.208,21.890925,1.0908,2.01775,84.8687,1.418,4.776,6.5652,13.104,0.0667,4.694975,1.5686,,1327.604394,2075.436356,1701.520375,528.7970515
75,0,0,0,0,1,0,12.5,10,5,2.5,0.5,0.1,7,6.25,2.2962,2.15845,5.956,2.889425,13.077375,1.104,2.669625,1.4544,1.7295,113.61455,2.5524,19.9,5.74455,13.104,0.116725,3.590275,1.5686,929.5675569,1273.777673,1616.518714,1273.287981,343.4758404
125,0,0,0,0,1,0,7.5,5,5,5,0,0,8,7.5,0.95675,2.4668,2.978,1.52075,17.4365,3.864,12.280275,2.9088,2.01775,113.61455,1.7016,11.144,5.74455,23.296,0.03335,0.828525,2.74505,1459.825597,1525.190415,2073.858323,1686.291445,337.2301937
125,0,0,0,1,0,0,7.5,0,40,5,0.3,0.1,9,3.75,0.95675,1.54175,1.489,0.456225,9.590075,0.552,1.601775,2.1816,2.01775,113.61455,2.836,8.358,8.2065,40.768,0.1334,4.4188,3.1372,1295.513559,1779.288312,2164.468069,1746.423313,435.408505
175,0,0,0,0,1,0,2.5,10,40,20,0.2,0.4,6,8.75,3.0616,2.77515,2.2335,0.152075,6.9746,1.104,5.33925,3.636,1.44125,62.9671,2.5524,6.368,4.9239,40.768,0.0667,3.86645,2.74505,804.4925153,650.8063222,1507.145133,987.4813235,456.5552734
175,0,0,0,0,1,0,7.5,10,10,60,0.1,0,8,5,0.95675,2.77515,0.7445,0.91245,2.615475,1.656,1.601775,1.4544,2.59425,84.8687,0.8508,19.9,7.38585,53.872,0.16675,2.485575,0.7843,1440.287396,1356.283878,2158.706384,1651.759219,441.0336933
100,0,0,0,0,1,0,2.5,5,40,20,0.3,0,6,7.5,0.95675,1.54175,5.2115,0.6083,13.077375,1.656,1.601775,1.4544,0.5765,62.9671,1.9852,4.776,5.74455,30.576,0.03335,0.828525,1.5686,1429.956461,1651.201531,2243.955373,1775.037788,420.892054
200,0,0,0,0,1,0,12.5,20,10,20,0.2,0.1,0,6.25,2.2962,2.15845,1.489,0.30415,5.23095,0.552,1.601775,1.4544,0.28825,84.8687,2.836,14.726,6.5652,23.296,0.016675,3.037925,1.5686,559.0477279,452.5223969,664.2359949,558.6020399,105.8575027
50,0,1,0,0,0,0,5,10,40,20,0.1,0.1,4,7.5,0.095675,2.77515,5.2115,2.12905,9.590075,2.76,2.669625,2.5452,1.153,84.8687,0.2836,14.726,8.2065,72.8,0.016675,2.76175,1.96075,771.7941309,857.1362281,901.9780083,843.6361224,66.13357788
200,0,0,0,1,0,0,5,0,2.5,10,0.5,0.1,5,8.75,3.0616,1.2334,5.2115,0.456225,9.590075,1.104,1.601775,1.818,2.59425,113.61455,0.8508,8.358,7.38585,13.104,0.116725,3.037925,2.3529,2236.239261,1996.58895,2208.788573,2147.205595,131.1579784
