HEPES,HEPES_pH7.0,HEPES_pH7.2,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH8.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,Value_1,Value_2,Value_3,yield,yield_std
100,1,0,0,0,0,0,7.5,40,2.5,40,0.5,0.1,8,6.25,5.3578,0.6167,5.2115,0.456225,6.9746,4.968,5.33925,0.3636,2.306,34.22125,2.5524,19.9,1.6413,23.296,0.03335,2.485575,2.74505,1372.417626,1218.436024,1304.861351,1298.571667,77.18324646
125,0,1,0,0,0,0,12.5,2.5,5,60,0.3,0.1,10,10,3.0616,0.92505,6.7005,1.52075,5.23095,4.968,2.669625,3.2724,2.8825,84.8687,1.9852,6.368,6.5652,13.104,0.03335,4.142625,1.96075,1579.320822,1391.243157,1369.448699,1446.670893,115.3939013
50,0,0,0,1,0,0,15,20,10,20,0.3,0.1,3,8.75,5.3578,0.6167,0.7445,0.456225,3.4873,2.208,16.551675,1.0908,2.8825,34.22125,2.5524,19.9,0.82065,72.8,0.1334,3.3141,0.39215,1089.92204,1026.12831,1053.465149,1056.505166,32.00533212
75,0,0,1,0,0,0,10,0,5,5,0.5,0,5,5,4.01835,1.2334,3.7225,1.2166,13.077375,1.104,1.601775,0.3636,2.8825,62.9671,1.7016,1.194,7.38585,4.368,0.0667,4.97115,1.5686,785.3368605,694.8813828,553.045052,677.7544318,117.0891558
100,1,0,0,0,0,0,2.5,20,10,20,3,0,10,5,4.01835,2.77515,4.467,2.889425,5.23095,2.76,12.280275,2.1816,2.01775,26.00815,1.1344,14.726,3.2826,23.296,0.0667,4.97115,0.7843,1470.443938,1257.585501,1244.955541,1324.328327,126.6973081
75,0,0,0,0,1,0,7.5,60,20,10,0.4,0,10,10,2.2962,1.8501,2.978,0.456225,13.077375,1.104,2.669625,1.4544,2.8825,84.8687,1.1344,14.726,2.46195,53.872,0.050025,0.828525,0.39215,2090.83213,1828.982485,1892.140795,1937.31847,136.6458045
100,0,0,0,1,0,0,12.5,0,40,5,1,0.1,5,3.75,3.0616,1.2334,0.7445,0.91245,13.077375,2.76,5.33925,2.5452,2.8825,46.5409,1.418,8.358,5.74455,40.768,0.10005,3.037925,1.96075,1423.429156,1393.821838,1467.918359,1428.389784,37.29650782
100,1,0,0,0,0,0,17.5,0,10,10,3,0.1,6,1.25,4.01835,0.92505,2.978,0.91245,13.077375,1.656,2.669625,2.9088,2.8825,34.22125,1.418,14.726,0.82065,53.872,0.16675,3.590275,0.39215,659.4909853,652.3896054,682.4937528,664.7914478,15.73645769
75,0,0,1,0,0,0,20,40,40,0,3,0,8,6.25,4.01835,1.8501,5.2115,1.2166,9.590075,3.864,1.601775,2.5452,2.59425,84.8687,0.2836,19.9,1.6413,7.28,0.016675,1.380875,0.39215,771.903053,657.9385064,771.8646704,733.9020766,65.78638431
125,0,0,0,1,0,0,2.5,0,20,2.5,0.2,0.1,6,7.5,5.3578,1.2334,5.2115,0.152075,6.9746,1.104,1.601775,3.636,2.8825,62.9671,1.1344,3.582,0.82065,13.104,0.116725,4.694975,1.96075,2112.293683,1623.843845,1752.883303,1829.67361,253.1173138
175,0,0,0,1,0,0,2.5,2.5,5,0,0.4,0.1,6,1.25,2.2962,2.15845,5.2115,0.6083,9.590075,4.968,16.551675,3.636,2.8825,62.9671,0.8508,4.776,5.74455,4.368,0.03335,3.86645,1.96075,531.2709494,479.2866046,480.935634,497.164396,29.54864735
75,0,0,0,0,1,0,2.5,0,2.5,10,0.3,0.1,5,5,5.3578,0.92505,0.7445,1.2166,13.077375,2.208,0.533925,0.7272,2.8825,46.5409,0.5672,1.99,1.6413,13.104,0.0667,1.933225,1.5686,1283.864099,1097.789092,1286.797981,1222.817057,108.2873311
100,0,0,0,0,0,1,5,10,5,20,0.4,0,10,2.5,7.175625,1.54175,2.2335,0.456225,6.9746,3.864,1.601775,0.7272,0.86475,34.22125,2.2688,11.144,4.9239,30.576,0.0667,4.97115,1.5686,2143.89398,2112.985797,2223.282176,2160.053984,56.89623991
50,0,0,0,0,1,0,20,2.5,40,10,0.5,0,3,10,5.3578,2.15845,5.956,0.152075,9.590075,1.104,39.51045,2.1816,2.59425,26.00815,2.5524,19.9,1.6413,13.104,0.050025,1.380875,2.74505,887.3505769,797.8411577,835.6782445,840.289993,44.93256278
200,1,0,0,0,0,0,20,5,2.5,20,1,0,9,10,4.01835,1.8501,4.467,0.152075,5.23095,4.416,21.890925,1.4544,2.8825,34.22125,2.836,4.776,5.74455,30.576,0.116725,4.694975,2.74505,585.6609553,501.131916,637.0134324,574.6021013,68.61246471
50,0,0,0,1,0,0,15,0,10,5,0.2,0.1,6,5,5.3578,0.92505,5.956,0.456225,13.077375,1.656,12.280275,3.2724,2.8825,62.9671,0.8508,3.582,1.6413,53.872,0.016675,1.933225,1.5686,1107.186682,1012.448461,1183.203043,1100.946062,85.54817871
100,0,0,0,0,0,1,12.5,60,20,10,0.5,0.1,9,1.25,0.95675,2.77515,1.489,0.456225,3.4873,4.416,39.51045,2.9088,2.59425,34.22125,1.1344,11.144,1.6413,13.104,0.03335,4.694975,3.1372,683.1892358,849.2419165,833.5058988,788.6456837,91.66625537
50,0,0,1,0,0,0,7.5,40,5,10,1,0.1,10,8.75,3.0616,1.54175,6.7005,1.52075,9.590075,2.208,5.33925,2.9088,2.8825,26.00815,0.2836,3.582,3.2826,23.296,0.116725,4.97115,3.52935,847.3143029,785.3477441,875.6696279,836.1105583,46.19148834
50,0,0,0,1,0,0,2.5,10,5,10,2,0.1,6,8.75,4.01835,2.4668,2.2335,1.52075,17.4365,1.104,1.601775,0.3636,2.59425,113.61455,1.7016,4.776,4.9239,4.368,0.083375,2.485575,0.39215,1370.318547,1050.700671,1122.48922,1181.16948,167.6944431
50,0,0,0,0,0,1,15,5,20,10,2,0,3,10,9.5675,0.92505,4.467,2.889425,13.077375,4.416,12.280275,2.1816,2.8825,34.22125,0.5672,3.582,7.38585,4.368,0.016675,2.76175,1.5686,620.8654752,808.7245039,632.9873952,687.5257914,105.1360126
75,0,1,0,0,0,0,2.5,10,10,20,0.3,0,10,6.25,2.2962,1.54175,3.7225,1.52075,5.23095,1.656,21.890925,2.9088,2.306,62.9671,1.7016,14.726,5.74455,4.368,0.050025,2.76175,3.52935,1618.807378,1571.528825,1571.142282,1587.159495,27.40855185
50,0,1,0,0,0,0,20,20,20,0,0.5,0,4,6.25,5.3578,2.4668,5.2115,0.152075,3.4873,2.208,16.551675,1.4544,2.8825,34.22125,2.2688,19.9,4.9239,13.104,0.050025,2.485575,1.96075,755.5852568,784.5997806,827.5445193,789.2431855,36.20365689
