Type,Replicate,Day,R2-Spearman,R2-Pearson,MAE,MSE
Active,A4,1,0.3505469729069961,-0.6206836365753214,0.27715522363610345,0.29112401257321685
Active,A4,2,0.36731204121254885,-0.8329778689985312,0.2778529406778942,0.2905788685160536
Active,A4,3,0.406826912662983,-0.7210294364735323,0.2715943522520477,0.2765246030452739
Active,A4,4,0.39255183370678587,-0.5649889877876333,0.26302094787903146,0.27143080929896646
Active,A4,5,0.38199846683771843,-0.2312298668530255,0.2923673611046793,0.32466015327098313
Active,A4,6,0.42876286044324824,0.032048653189488685,0.2714294865589621,0.28612134256318084
Active,A4,7,0.46592685102724307,0.13854803145019245,0.24833458662067512,0.2525769545496176
Active,A4,8,0.5168827706980336,0.1622186914733511,0.24238767411412263,0.22956031081589304
Active,A4,9,0.5510262531147446,0.43820559377582524,0.20916220684998343,0.16704394018237614
Active,A4,10,0.6468829981184614,0.5480683227341353,0.1918104697625542,0.13369737207456622
