Type,Replicate,Day,R2-Spearman,R2-Pearson,MAE,MSE
Active,A4,1,0.2697277811373049,-0.7225543712686802,0.31563349132399926,0.37117306711013165
Active,A4,2,0.3238251538714703,-0.6228652653526265,0.2779009865427207,0.29464449607104853
Active,A4,3,0.4282967991832419,-0.1900610383826793,0.24889884510575563,0.24217713130394394
Active,A4,4,0.466369593707825,0.014281044858195258,0.24585585492230555,0.24076981315528453
Active,A4,5,0.4142678611049472,-0.097294616743687,0.2547678196096627,0.24736343368655714
Active,A4,6,0.47115718303572035,-0.043348841434899255,0.24160482573934403,0.23149152463370684
Active,A4,7,0.48273860342658376,0.2130267765574868,0.2710392871158868,0.2801614946893731
Active,A4,8,0.58536393049147,0.4226880215532923,0.20823514203418642,0.16342388837734503
Active,A4,9,0.6443658593178365,0.47372547834812706,0.19806014232528565,0.14687906466880876
Active,A4,10,0.6121842088374296,0.46123501247397636,0.19118852264177796,0.1442501871101091
