Type,Replicate,Day,R2-Spearman,R2-Pearson,MAE,MSE
Active,A4,1,0.27925266258203235,-0.08176319002627475,0.3546650556737594,0.4118392406984717
Active,A4,2,0.46165455491326596,-0.3280144334358164,0.2765351687183244,0.21201473304193522
Active,A4,3,0.5217617322726742,0.031714989781340686,0.23052235487079906,0.20962997493706845
Active,A4,4,0.5186514641458125,0.09287573236740121,0.23380070473526673,0.19249670462854762
Active,A4,5,0.5575625908064223,0.20175643707569824,0.23180381450060503,0.2035787657290194
Active,A4,6,0.5256019920727756,0.20761276925115357,0.22949867144341654,0.19197762272441893
Active,A4,7,0.567523722138399,0.2789784864268353,0.21315402386168872,0.16571310869553707
Active,A4,8,0.6330993777079993,0.40149737497840376,0.19915112994977968,0.14575872731528544
Active,A4,9,0.6397161460813545,0.49911932230091205,0.1875384236031,0.13112502896770972
Active,A4,10,0.5991350998408548,0.51267608738336,0.19338017929784687,0.12784615528251062
