NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw_1,raw_2,raw_3,mean,yield,yield_std
0.78,50,60,5,0.7,2.5,1.02,0.0408,0.04,3.25,0.065,0.0875,0.65,28,20,A1,B1,C1,5971,6121,6541,6211,2.8743,0.1402
0.78,50,45,5,0.9,2,1.23,0.068,0.04,3.5,0.195,0.0875,0.1625,32,20,A3,B3,C3,6129,6625,7254,6669.333333,3.0918,0.2676
0.78,50,60,2.5,0.4,2,0.51,0.068,0.04,4,0.26,0.0875,0.325,32,20,A5,B5,C5,139,153,147,146.3333333,-0.0043,0.0033
0.78,50,60,7.5,0.8,2.5,0.48,0.068,0.04,3.5,0.195,0.0875,0.325,28,20,A7,B7,C7,7336,8428,8815,8193,3.815,0.3641
0.78,50,45,0,0.8,2,0.6,0.0408,0.04,4,0.325,0.175,0.1625,20,20,A9,B9,C9,177,217,239,211,0.0264,0.0149
0.78,50,45,7.5,0.4,2.5,1.08,0.068,0.04,3.5,0.13,0.0875,0.325,24,20,A11,B11,C11,7271,8446,9364,8360.333333,3.8945,0.498
0.78,50,45,0,0.6,2,0.36,0.068,0.04,3.25,0.065,0.175,0.4875,20,20,A13,B13,C13,96,111,116,107.6666667,-0.0226,0.0049
0.78,50,60,5,0.4,2,0.63,0.0544,0.04,3.25,0.195,0.175,0.8125,28,20,A15,B15,C15,3995,5748,5949,5230.666667,2.409,0.5102
1.56,50,60,10,0.8,2.5,0.6,0.0408,0.04,3.25,0.13,0.175,0.4875,28,20,A17,B17,C17,8772,10736,10980,10162.66667,4.7499,0.5746
0.78,50,30,7.5,0.5,3,0.63,0.068,0.04,3.75,0.325,0.175,0.1625,28,20,A19,B19,C19,6863,6949,7635,7149,3.3195,0.2008
1.56,50,45,7.5,1,2,1.38,0.068,0.04,3.25,0.065,0.35,0.8125,20,20,A21,B21,C21,8161,9992,10384,9512.333333,4.4413,0.5632
0.78,50,45,2.5,0.7,2,0.93,0.0544,0.04,3.5,0.13,0.175,0.65,24,20,A23,B23,C23,1586,1943,1990,1839.666667,0.7995,0.1049
0.78,50,45,5,0.6,2,0.51,0.0544,0.04,3.75,0.13,0.175,0.8125,20,20,D1,E1,F1,1309,1204,1322,1278.333333,0.533,0.0307
0.78,50,60,2.5,0.7,3,1.41,0.0408,0.04,3.5,0.325,0.175,0.8125,32,20,D3,E3,F3,434,388,413,411.6666667,0.1217,0.0109
1.56,50,60,7.5,0.5,1,1.23,0.0544,0.04,3.75,0.065,0.175,0.325,24,20,D5,E5,F5,9801,8436,9412,9216.333333,4.3008,0.3338
0.78,50,30,0,0.4,2.5,1.02,0.0408,0.04,4,0.26,0.0875,0.4875,28,20,D7,E7,F7,127,123,122,124,-0.0149,0.0013
0.78,50,60,2.5,0.8,2.5,0.63,0.068,0.04,3.25,0.195,0.4375,0.4875,32,20,D9,E9,F9,1024,1027,1020,1023.666667,0.4122,0.0017
1.56,50,45,7.5,0.8,3,0.27,0.068,0.04,4,0.26,0.175,0.65,32,20,D11,E11,F11,7829,7610,7653,7697.333333,3.5798,0.0551
0.78,50,45,2.5,1,2,0.3,0.0408,0.04,3.5,0.13,0.175,0.8125,28,20,D13,E13,F13,2571,2473,2484,2509.333333,1.1173,0.0255
0.78,50,60,7.5,0.5,1,1.32,0.068,0.04,3.25,0.065,0.175,0.1625,28,20,D15,E15,F15,10600,10203,10258,10353.66667,4.8406,0.1021
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,2877,3103,2839,2939.666667,1.3216,0.0677
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,1206,1098,1480,1261.333333,0.525,0.0935
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,1680,1465,1609,1584.666667,0.6784,0.052
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,177,144,145,155.3333333,0,0.0089
