NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw_1,raw_2,raw_3,mean,yield,yield_std
0.78,50,45,5,0.4,1,1.38,0.0544,0.04,3,0.065,0.35,0.1625,28,20,A1,B1,C1,9603,8447,10613,9554.333333,2.5159,0.2911
1.56,50,60,5,0.5,0.5,1.32,0.068,0.12,4,0.065,0.35,0.65,28,20,A3,B3,C3,5622,5039,4849,5170,1.3385,0.1082
0.78,50,45,5,0.7,1,1.35,0.068,0.12,3.25,0.065,0.4375,0.65,20,20,A5,B5,C5,8995,8845,9388,9076,2.3874,0.0753
1.56,50,45,5,0.6,1.5,1.32,0.0544,0.12,3.75,0.065,0.35,0.1625,32,20,A7,B7,C7,3923,3920,4173,4005.333333,1.0257,0.039
1.56,50,60,5,0.4,0.5,1.05,0.0272,0.04,4,0.065,0.35,0.65,20,20,A9,B9,C9,7030,6897,6955,6960.666667,1.8194,0.0179
1.56,50,45,7.5,0.5,1.5,1.35,0.0408,0.04,3.75,0.065,0.4375,0.1625,28,20,A11,B11,C11,10867,10521,11144,10844,2.8622,0.0838
0.78,50,60,5,0.4,0.5,1.41,0.0272,0.12,4,0.065,0.4375,0.325,28,20,A13,B13,C13,5908,6117,5571,5865.333333,1.5252,0.074
1.56,50,75,5,0.5,1,1.11,0.068,0.12,3,0.065,0.4375,0.4875,24,20,A15,B15,C15,2830,3050,3372,3084,0.7783,0.0732
0.78,50,45,5,0.9,1,1.26,0.0544,0.04,4,0.065,0.35,0.65,24,20,A17,B17,C17,10977,11173,11084,11078,2.9251,0.0264
1.56,50,90,5,0.4,0.5,1.41,0.0408,0.16,2.75,0.065,0.4375,0.8125,28,20,A19,B19,C19,293,214,240,249,0.0169,0.0108
1.56,50,45,5,0.6,0,1.5,0.0408,0.16,4,0.065,0.0875,0.8125,28,20,A21,B21,C21,2622,2509,2456,2529,0.6292,0.0228
1.56,50,135,5,0.7,0,1.44,0.0408,0.12,3,0.065,0.4375,0.1625,28,20,A23,B23,C23,851,671,918,813.3333333,0.1685,0.0343
0.78,50,150,5,0.6,0.5,1.14,0.0408,0.04,3.25,0.065,0.4375,0.1625,28,20,D1,E1,F1,9049,9272,8699,9006.666667,2.3688,0.0776
2.34,50,45,5,0.7,1,1.5,0.0544,0.04,2.75,0.065,0.4375,0.1625,24,20,D3,E3,F3,325,288,275,296,0.0295,0.007
2.34,50,60,5,0.5,1.5,1.08,0.0544,0.12,3,0.065,0.2625,0.4875,24,20,D5,E5,F5,6243,5489,5754,5828.666667,1.5154,0.1027
1.56,50,90,5,0.8,1,1.2,0.068,0.08,3.75,0.065,0.35,0.325,24,20,D7,E7,F7,153,152,146,150.3333333,-0.0096,0.001
1.56,50,45,5,0.2,1.5,1.02,0.0136,0.04,3,0.065,0.2625,0.1625,28,20,D9,E9,F9,607,622,596,608.3333333,0.1134,0.0035
2.34,50,60,5,0.4,1,1.23,0.0408,0.08,2,0.065,0.35,0.325,28,20,D11,E11,F11,145,149,147,147,-0.0105,0.0005
0.78,50,60,7.5,0.4,0.5,1.44,0.068,0.12,2.75,0.065,0.4375,0.4875,32,20,D13,E13,F13,9561,9933,9708,9734,2.5641,0.0503
0.78,50,30,5,0.5,0.5,1.5,0.0408,0.16,3,0.065,0.2625,0.65,20,20,D15,E15,F15,6664,6566,6410,6546.666667,1.7082,0.0344
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,6302,6213,6113,6209.333333,1.6176,0.0254
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,1733,1796,1698,1742.333333,0.418,0.0133
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,3795,4009,3925,3909.666667,1,0.029
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,178,166,214,186,0,0.0067
