NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw_1,raw_2,raw_3,mean,yield,yield_std
0.78,50,30,5,1,2.5,1.41,0.0408,0.04,3.75,0.065,0.4375,0.4875,24,20,A1,B1,C1,9744,10005,7636,9128.333333,2.1825,0.3159
0.78,50,60,7.5,0.8,3,1.5,0.068,0.04,3.75,0.065,0.4375,0.1625,20,20,A3,B3,C3,9482,12068,12924,11491.33333,2.7572,0.4358
0.78,50,60,7.5,0.6,0.5,1.2,0.0272,0.04,3.5,0.065,0.0875,0.4875,20,20,A5,B5,C5,7514,8173,9579,8422,2.0108,0.2565
0.78,50,60,5,0.7,1,1.11,0.0544,0.04,3.5,0.065,0.0875,0.325,32,20,A7,B7,C7,4944,7685,13238,8622.333333,2.0595,1.0276
0.78,50,45,5,0.4,0,0.54,0.0408,0.04,3.75,0.065,0.4375,0.8125,24,20,A9,B9,C9,11384,10343,10433,10720,2.5696,0.1403
1.56,50,60,7.5,0.7,0,1.35,0.0408,0.04,3.5,0.065,0.35,0.8125,28,20,A11,B11,C11,6237,10306,13729,10090.66667,2.4166,0.912
0.78,50,45,7.5,0.5,0.5,1.11,0.0408,0.04,3,0.065,0.2625,0.65,28,20,A13,B13,C13,10678,10767,11264,10903,2.6141,0.0768
1.56,50,60,7.5,0.4,2.5,1.38,0.0544,0.04,4,0.065,0.35,0.1625,28,20,A15,B15,C15,6550,9441,13734,9908.333333,2.3722,0.879
0.78,50,30,5,0.8,0.5,1.26,0.0408,0.12,3.25,0.065,0.35,0.4875,32,20,A17,B17,C17,7002,7825,8358,7728.333333,1.8421,0.1661
0.78,50,30,5,0.8,1,0.51,0.0544,0.04,3.25,0.065,0.35,0.1625,32,20,A19,B19,C19,12252,10176,9758,10728.66667,2.5717,0.3248
1.56,50,60,7.5,0.8,0.5,1.44,0.068,0.04,3.25,0.065,0.4375,0.325,32,20,A21,B21,C21,7946,9656,11945,9849,2.3578,0.4879
0.78,50,60,5,0.4,1,0.39,0.0408,0.04,3.5,0.065,0.2625,0.65,20,20,A23,B23,C23,10515,10637,10485,10545.66667,2.5272,0.0196
0.78,50,30,10,0.6,1.5,1.5,0.068,0.04,4,0.065,0.4375,0.4875,24,20,D1,E1,F1,1252,2300,2590,2047.333333,0.4606,0.1712
0.78,50,60,10,0.6,1.5,1.47,0.0408,0.04,4,0.065,0.35,0.4875,32,20,D3,E3,F3,7039,9368,10247,8884.666667,2.1233,0.4031
0.78,50,45,7.5,1,0,0.21,0.0272,0.04,3.25,0.065,0.35,0.8125,20,20,D5,E5,F5,4712,3922,3467,4033.666667,0.9437,0.1532
0.78,50,45,7.5,0.4,0,0.42,0.0544,0.04,3.25,0.065,0.35,0.1625,24,20,D7,E7,F7,10424,9390,9216,9676.666667,2.3159,0.1588
0.78,50,60,7.5,0.6,1.5,1.23,0.068,0.04,4,0.065,0.0875,0.8125,8,20,D9,E9,F9,439,477,580,498.6666667,0.0841,0.0177
0.78,50,60,5,0.9,0.5,1.11,0.068,0.04,3.75,0.065,0.2625,0.1625,12,20,D11,E11,F11,2078,2092,2147,2105.666667,0.4748,0.0089
0.78,50,60,5,0.4,0.5,1.05,0.068,0.16,3.25,0.065,0.35,0.1625,20,20,D13,E13,F13,10841,9097,8757,9565,2.2887,0.2719
1.56,50,45,7.5,1,0.5,1.35,0.0408,0.04,3.5,0.065,0.175,0.8125,20,20,D15,E15,F15,11426,11278,10793,11165.66667,2.678,0.0805
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,6763,5050,5367,5726.666667,1.3554,0.2216
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,1336,1634,1893,1621,0.357,0.0678
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,4272,4205,4319,4265.333333,1,0.0139
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,151,153,155,153,0,0.0005
