NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw_1,raw_2,raw_3,mean,yield,yield_std
0.78,50,30,10,0.8,1.5,0.96,0.068,0.12,4,0.065,0.175,0.325,20,20,A1,B1,C1,916,906,1016,946,0.15,0.0125
1.56,50,45,10,0.9,1.5,0.15,0.068,0.12,4,0.065,0.4375,0.4875,24,20,A3,B3,C3,3000,2823,2947,2923.333333,0.5548,0.0186
0.78,50,60,10,0.8,1,1.29,0.068,0.12,4,0.065,0.35,0.4875,28,20,A5,B5,C5,6711,5868,6680,6419.666667,1.2706,0.0979
0.78,50,60,7.5,0.3,0,0.15,0.068,0.12,0,0.065,0.2625,0.4875,20,20,A7,B7,C7,5190,4128,5642,4986.666667,0.9772,0.1591
1.56,50,45,10,0.8,1,1.17,0.068,0.04,2,0.065,0.2625,0.4875,20,20,A9,B9,C9,8479,7000,8745,8074.666667,1.6094,0.1925
0.78,50,45,10,0.8,1,1.08,0.0544,0.08,1,0.065,0.4375,0.325,20,20,A11,B11,C11,6696,5281,6045,6007.333333,1.1862,0.145
0.78,50,60,7.5,0.9,0,1.29,0.0544,0.12,0.5,0.065,0.4375,0.4875,20,20,A13,B13,C13,7736,6626,7402,7254.666667,1.4415,0.1166
1.56,50,45,10,0.7,1,1.14,0.0408,0.12,2.75,0.065,0.35,0.1625,24,20,A15,B15,C15,9499,7631,9316,8815.333333,1.761,0.2108
1.56,50,30,10,0.7,0.5,0.69,0.068,0.12,1.75,0.065,0.175,0.4875,20,20,A17,B17,C17,6135,6095,3401,5210.333333,1.023,0.3208
0.78,50,45,10,0.6,0,0.18,0.068,0.12,2.75,0.065,0.175,0.1625,24,20,A19,B19,C19,4031,3831,4531,4131,0.802,0.0738
0.78,50,45,7.5,0.7,1.5,0.9,0.0544,0.12,4,0.065,0.175,0.4875,32,20,A21,B21,C21,7646,7075,8154,7625,1.5173,0.1105
2.34,50,45,7.5,1,1.5,0.15,0.068,0.04,1.75,0.065,0.4375,0.4875,20,20,A23,B23,C23,7707,7121,8442,7756.666667,1.5443,0.1355
0.78,50,45,5,0.6,1.5,0.93,0.0408,0.04,4,0.065,0.4375,0.325,20,20,D1,E1,F1,9372,9690,10323,9795,1.9616,0.0991
1.56,50,45,7.5,0.6,1.5,0.87,0.068,0.12,3.75,0.065,0.4375,0.8125,20,20,D3,E3,F3,8021,8807,9040,8622.666667,1.7216,0.1093
0.78,50,45,7.5,0.3,1,0.15,0.068,0.12,1.75,0.065,0.175,0.1625,32,20,D5,E5,F5,4565,5103,5527,5065,0.9932,0.0987
1.56,50,45,5,0.5,0.5,1.47,0.068,0.16,4,0.065,0.35,0.325,20,20,D7,E7,F7,10906,10481,10407,10598,2.126,0.0551
1.56,50,60,10,0.7,1.5,1.26,0.0544,0.08,0,0.065,0.35,0.1625,20,20,D9,E9,F9,4939,5034,4936,4969.666667,0.9737,0.0114
0.78,50,60,5,0.6,1.5,1.26,0.0408,0.12,4,0.065,0.4375,0.65,20,20,D11,E11,F11,9895,9739,10387,10007,2.005,0.0692
0.78,50,45,7.5,0.8,0,1.08,0.0544,0.12,2.75,0.065,0.4375,0.4875,28,20,D13,E13,F13,8678,10035,9797,9503.333333,1.9019,0.1483
0.78,50,45,7.5,1,0.5,1.17,0.0544,0.12,1,0.065,0.175,0.4875,24,20,D15,E15,F15,4719,6465,7049,6077.666667,1.2006,0.2482
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,6923,6606,7919,7149.333333,1.42,0.1403
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,1389,1715,1011,1371.666667,0.2371,0.0721
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,4928,5135,5231,5098,1,0.0317
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,209,212,219,213.3333333,0,0.0011
