NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw_1,raw_2,raw_3,mean,yield,yield_std
0.78,50,60,7.5,1,2,1.14,0.0408,0.04,3.25,0.065,0.0875,0.325,28,20,A1,B1,C1,8331,7889,9163,8461,3.3104,0.2586
1.56,50,45,7.5,0.4,2,1.41,0.0544,0.04,3.75,0.065,0.35,0.1625,20,20,A3,B3,C3,8306,8261,8616,8394.333333,3.2838,0.0773
1.56,50,60,7.5,0.6,1.5,0.48,0.0408,0.04,3.75,0.065,0.4375,0.8125,28,20,A5,B5,C5,7271,6881,7150,7100.666667,2.7665,0.0798
0.78,50,30,5,0.6,2,1.29,0.0544,0.04,3.75,0.065,0.175,0.325,20,20,A7,B7,C7,8261,8284,8406,8317,3.2528,0.0312
0.78,50,45,5,0.7,0.5,0.9,0.0408,0.04,3,0.065,0.4375,0.8125,24,20,A9,B9,C9,5468,5382,5432,5427.333333,2.0974,0.0173
0.78,50,60,5,0.6,2.5,1.17,0.068,0.04,4,0.065,0.4375,0.4875,20,20,A11,B11,C11,9210,9307,8962,9159.666667,3.5898,0.0711
3.12,50,60,7.5,0.7,1.5,1.44,0.0544,0.04,3.25,0.065,0.175,0.325,32,20,A13,B13,C13,151,148,140,146.3333333,-0.0141,0.0023
1.56,50,45,5,0.7,0.5,1.2,0.0544,0.04,3.5,0.065,0.35,0.65,28,20,A15,B15,C15,1421,1212,1275,1302.666667,0.4482,0.0429
1.56,50,60,7.5,0.4,0,0.54,0.068,0.04,3.25,0.065,0.35,0.8125,28,20,A17,B17,C17,7267,6070,6526,6621,2.5747,0.2416
1.56,50,30,5,0.4,0.5,1.02,0.0408,0.04,4,0.065,0.2625,0.8125,28,20,A19,B19,C19,3913,3073,3350,3445.333333,1.3049,0.1711
1.56,50,30,7.5,0.7,2.5,0.3,0.0544,0.04,4,0.065,0.175,0.325,32,20,A21,B21,C21,7896,6881,6722,7166.333333,2.7927,0.2547
1.56,50,30,7.5,0.6,2.5,0.54,0.0544,0.04,3.75,0.065,0.0875,0.65,28,20,A23,B23,C23,7155,5690,6932,6592.333333,2.5632,0.3156
2.34,50,45,7.5,0.8,2,1.35,0.068,0.04,4,0.065,0.2625,0.4875,32,20,D1,E1,F1,5524,5730,5484,5579.333333,2.1582,0.0528
0.78,50,45,7.5,0.5,2,0.96,0.0544,0.04,3.25,0.065,0.0875,0.8125,20,20,D3,E3,F3,6040,7473,6526,6679.666667,2.5982,0.2914
1.56,50,45,10,0.9,2,1.35,0.0408,0.04,3.25,0.065,0.175,0.8125,24,20,D5,E5,F5,8215,8899,8855,8656.333333,3.3885,0.1531
3.12,50,60,10,0.5,1,1.14,0.0408,0.04,3.5,0.065,0.0875,0.65,20,20,D7,E7,F7,6860,7341,7005,7068.666667,2.7537,0.0987
0.78,50,60,7.5,0.5,1.5,0.45,0.068,0.04,4,0.065,0.0875,0.4875,28,20,D9,E9,F9,9484,10763,9917,10054.66667,3.9476,0.2601
3.12,50,45,7.5,0.4,3,0.54,0.068,0.04,4,0.065,0.35,0.8125,28,20,D11,E11,F11,146,146,142,144.6666667,-0.0148,0.0009
0.78,50,45,7.5,0.7,0,1.26,0.0544,0.04,3.75,0.195,0.4375,0.65,32,20,D13,E13,F13,6872,6243,7412,6842.333333,2.6632,0.2339
3.12,50,60,7.5,1,1,0.15,0.0544,0.04,4,0.065,0.2625,0.65,24,20,D15,E15,F15,2502,1793,2383,2226,0.8174,0.1518
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,2346,2514,2559,2473,0.9162,0.0449
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,972,753,1015,913.3333333,0.2925,0.0562
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,2802,2465,2781,2682.666667,1,0.0755
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,164,155,226,181.6666667,0,0.0155
