NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw_1,raw_2,raw_3,mean,yield,yield_std
0.78,50,90,10,0.5,2.5,1.29,0.0544,0.04,3.25,0.13,0.175,0.65,28,20,A1,B1,C1,8560,7466,6415,7480.333333,2.4243,0.3575
0.78,50,30,7.5,0.9,3,1.41,0.0408,0.04,3.75,0.065,0.0875,0.325,24,20,A3,B3,C3,1978,1743,1913,1878,0.5572,0.0404
1.56,50,90,7.5,0.6,2,1.41,0.068,0.04,4,0.13,0.0875,0.325,28,20,A5,B5,C5,8733,8161,8216,8370,2.7208,0.1052
0.78,50,105,10,0.7,3,0.93,0.0408,0.04,4,0.065,0.0875,0.4875,28,20,A7,B7,C7,6265,5726,5810,5933.666667,1.9089,0.0966
1.56,50,120,7.5,0.5,2,1.41,0.0544,0.04,4,0.195,0.0875,0.1625,28,20,A9,B9,C9,6850,6363,6530,6581,2.1246,0.0825
1.56,50,150,10,0.5,1,0.78,0.0408,0.04,3.75,0.13,0.0875,0.325,24,20,A11,B11,C11,7602,6928,7115,7215,2.3359,0.116
1.56,50,135,7.5,0.5,0.5,0.96,0.0544,0.04,3.5,0.195,0.0875,0.1625,28,20,A13,B13,C13,6648,6219,6742,6536.333333,2.1097,0.0929
1.56,50,75,7.5,0.5,0,0.48,0.0408,0.04,3.25,0.13,0.0875,0.65,28,20,A15,B15,C15,7256,6233,6650,6713,2.1686,0.1714
0.78,50,45,7.5,0.4,1.5,1.35,0.0544,0.04,0.5,0.065,0.175,0.65,24,20,A17,B17,C17,2249,1856,2051,2052,0.6152,0.0655
0.78,50,75,10,0.8,2.5,1.11,0.0544,0.04,3.25,0.26,0.175,0.1625,28,20,A19,B19,C19,5837,4523,5537,5299,1.6973,0.2295
0.78,50,90,10,0.5,1.5,0.66,0.0408,0.04,2.25,0.195,0.175,0.1625,28,20,A21,B21,C21,4983,4655,5850,5162.666667,1.6519,0.2058
1.56,50,45,10,0.8,3,1.26,0.0408,0.04,1.25,0.195,0.175,0.325,28,20,A23,B23,C23,987,924,1156,1022.333333,0.2721,0.04
1.56,50,60,7.5,0.4,1.5,1.05,0.0544,0.04,1.25,0.065,0.175,0.325,24,20,D1,E1,F1,2769,2525,2652,2648.666667,0.8141,0.0407
1.56,50,60,10,0.8,2,0.45,0.0408,0.04,4,0.065,0.175,0.1625,28,20,D3,E3,F3,6524,6057,6563,6381.333333,2.058,0.0938
1.56,50,135,10,0.5,1.5,1.23,0.0408,0.04,3,0.13,0.0875,0.65,28,20,D5,E5,F5,6644,6290,7270,6734.666667,2.1758,0.1654
0.78,50,30,10,0.8,2.5,1.32,0.0408,0.04,1,0.195,0.175,0.325,24,20,D7,E7,F7,3246,3027,3505,3259.333333,1.0176,0.0797
0.78,50,90,10,0.5,0.5,1.14,0.068,0.04,2.25,0.13,0.175,0.1625,28,20,D9,E9,F9,5439,5154,5686,5426.333333,1.7398,0.0887
1.56,50,135,7.5,0.4,2,0.69,0.0544,0.04,3,0.065,0.0875,0.4875,28,20,D11,E11,F11,5696,5499,6333,5842.666667,1.8785,0.1453
0.78,50,105,10,0.9,3,1.32,0.0544,0.04,2.75,0.325,0.0875,0.65,28,20,D13,E13,F13,5159,4929,5541,5209.666667,1.6676,0.103
1.56,50,105,7.5,0.6,3,1.17,0.068,0.04,4,0.325,0.0875,0.1625,24,20,D15,E15,F15,7501,6989,7755,7415,2.4025,0.13
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,5459,4907,5444,5270,1.6877,0.1048
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,1284,1161,1241,1228.666667,0.3408,0.0208
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,3780,3438,3930,3716,1.1698,0.084
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,198,207,213,206,0,0.0025
