NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw_1,raw_2,raw_3,mean,yield,yield_std
1.56,50,90,7.5,1,2,0.78,0.068,0.04,3.75,0.325,0.0875,0.8125,28,20,A1,B1,C1,8213,10015,8579,8935.666667,2.7547,0.298
1.56,50,105,7.5,1,2.5,0.54,0.068,0.04,3.75,0.065,0.4375,0.65,20,20,A3,B3,C3,11038,12758,11294,11696.66667,3.6187,0.2904
1.56,50,120,7.5,0.9,3,0.57,0.068,0.04,4,0.26,0.0875,0.65,24,20,A5,B5,C5,8368,11104,9161,9544.333333,2.9452,0.4405
1.56,50,105,7.5,0.9,2.5,0.57,0.068,0.04,3.25,0.065,0.175,0.65,32,20,A7,B7,C7,8210,10814,8655,9226.333333,2.8457,0.4358
0.78,50,75,5,1,2,0.36,0.068,0.04,3.5,0.065,0.0875,0.325,24,20,A9,B9,C9,3609,5000,3939,4182.666667,1.2675,0.2274
1.56,50,150,7.5,0.7,2,0.63,0.068,0.04,3.75,0.195,0.2625,0.325,32,20,A11,B11,C11,8060,9732,8431,8741,2.6938,0.2747
0.78,50,150,7.5,0.5,2.5,0.51,0.068,0.04,3.75,0.325,0.0875,0.65,28,20,A13,B13,C13,7164,9675,8223,8354,2.5727,0.3945
1.56,50,90,10,1,2,0.48,0.068,0.04,3.5,0.325,0.4375,0.1625,16,20,A15,B15,C15,6308,7672,6711,6897,2.1168,0.2193
1.56,50,135,10,0.7,2.5,0.27,0.068,0.04,4,0.325,0.35,0.1625,20,20,A17,B17,C17,8492,11520,9810,9940.666667,3.0692,0.4751
0.78,50,60,7.5,0.4,2.5,0.45,0.068,0.04,4,0.065,0.175,0.4875,28,20,A19,B19,C19,7480,9422,8850,8584,2.6447,0.3123
0.78,50,120,5,0.9,3,0.9,0.068,0.04,3.75,0.195,0.2625,0.325,24,20,A21,B21,C21,8052,9642,9241,8978.333333,2.7681,0.2587
0.78,50,105,10,0.5,2,0.51,0.068,0.04,3.75,0.195,0.175,0.4875,32,20,A23,B23,C23,9215,8745,10461,9473.666667,2.9231,0.2775
0.78,50,135,5,0.9,2,0.33,0.068,0.04,4,0.325,0.0875,0.65,28,20,D1,E1,F1,6969,8265,7238,7490.666667,2.3026,0.214
1.56,50,60,10,0.6,3,0.21,0.068,0.04,3.25,0.065,0.175,0.325,28,20,D3,E3,F3,1310,1602,1165,1359,0.3839,0.0696
0.78,50,120,10,0.6,3,0.63,0.068,0.04,3.25,0.325,0.0875,0.325,24,20,D5,E5,F5,6818,7998,7269,7361.666667,2.2622,0.1863
1.56,50,135,10,0.7,3,0.24,0.068,0.04,3.75,0.065,0.35,0.1625,28,20,D7,E7,F7,10565,11870,11007,11147.33333,3.4468,0.2077
0.78,50,135,10,0.8,2.5,0.51,0.068,0.04,3.75,0.065,0.0875,0.4875,16,20,D9,E9,F9,3286,4091,3346,3574.333333,1.0771,0.1403
0.78,50,90,10,0.8,2,0.69,0.068,0.04,4,0.13,0.2625,0.1625,16,20,D11,E11,F11,1444,1733,1492,1556.333333,0.4457,0.0485
0.78,50,105,10,0.4,2,0.66,0.068,0.04,4,0.195,0.2625,0.325,32,20,D13,E13,F13,9180,11200,8783,9721,3.0005,0.4056
1.56,50,30,7.5,1,2.5,0.66,0.068,0.04,3.5,0.325,0.4375,0.8125,20,20,D15,E15,F15,8599,8076,7461,8045.333333,2.4761,0.1782
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,3842,4174,3616,3877.333333,1.1719,0.0878
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,1173,1358,1176,1235.666667,0.3453,0.0332
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,2679,2931,2725,2778.333333,0.8281,0.042
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,139,134,123,132,0,0.0026
