NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw_1,raw_2,raw_3,mean,yield,yield_std
1.56,50,60,7.5,0.7,2,1.32,0.068,0.04,3.25,0.065,0.175,0.8125,24,20,A1,B1,C1,2207,1967,2215,2129.666667,1.6553,0.1202
0.78,50,150,7.5,0.5,1.5,1.38,0.068,0.04,3.5,0.13,0.175,0.4875,24,20,A3,B3,C3,4465,4398,4597,4486.666667,3.6661,0.0864
1.56,50,150,7.5,1,2.5,1.26,0.068,0.04,3.25,0.195,0.0875,0.4875,24,20,A5,B5,C5,3475,3244,3740,3486.333333,2.8127,0.2117
1.56,50,60,5,0.5,2.5,0.99,0.068,0.04,3.25,0.13,0.175,0.4875,28,20,A7,B7,C7,577,542,581,566.6666667,0.3219,0.0183
1.56,50,30,7.5,0.8,2,0.3,0.068,0.04,3.5,0.325,0.4375,0.1625,24,20,A9,B9,C9,4472,4108,4372,4317.333333,3.5217,0.1604
0.78,50,90,10,0.7,2,0.51,0.068,0.04,3.25,0.065,0.0875,0.325,24,20,A11,B11,C11,5056,4680,5196,4977.333333,4.0847,0.2276
1.56,50,60,5,1,2.5,0.45,0.068,0.04,4,0.065,0.2625,0.325,28,20,A13,B13,C13,4683,4583,5648,4971.333333,4.0796,0.5018
0.78,50,135,7.5,0.7,2,0.39,0.068,0.04,3.75,0.065,0.0875,0.8125,24,20,A15,B15,C15,5919,5493,6023,5811.666667,4.7965,0.2396
0.78,50,60,7.5,0.9,1,0.9,0.068,0.04,3.25,0.065,0.35,0.325,24,20,A17,B17,C17,5222,4845,5420,5162.333333,4.2426,0.2492
1.56,50,75,7.5,0.6,2.5,0.51,0.068,0.04,3.25,0.065,0.175,0.1625,28,20,A19,B19,C19,4970,4634,4609,4737.666667,3.8803,0.172
0.78,50,105,5,0.6,2.5,0.81,0.068,0.04,3.75,0.065,0.175,0.325,24,20,A21,B21,C21,2185,2191,2233,2203,1.7179,0.0223
1.56,50,45,7.5,0.9,2,0.21,0.068,0.04,3.5,0.26,0.35,0.4875,32,20,A23,B23,C23,4235,4143,4568,4315.333333,3.52,0.1908
1.56,50,105,5,0.4,2,1.11,0.068,0.04,3.5,0.13,0.175,0.1625,20,20,D1,E1,F1,970,920,1149,1013,0.7027,0.1027
0.78,50,75,7.5,0.4,2,0.66,0.068,0.04,3.5,0.195,0.175,0.325,20,20,D3,E3,F3,5697,5090,5685,5490.666667,4.5227,0.2961
0.78,50,60,5,1,3,0.33,0.068,0.04,3.5,0.065,0.4375,0.325,24,20,D5,E5,F5,5775,5482,6082,5779.666667,4.7692,0.256
0.78,50,135,5,0.6,2,1.11,0.068,0.04,4,0.195,0.4375,0.325,32,20,D7,E7,F7,4324,4093,4597,4338,3.5393,0.2152
0.78,50,150,10,0.8,2,0.39,0.068,0.04,3.75,0.13,0.2625,0.325,24,20,D9,E9,F9,5745,5284,6063,5697.333333,4.699,0.3342
1.56,50,60,5,1,3,1.26,0.068,0.04,3.75,0.13,0.2625,0.1625,28,20,D11,E11,F11,3897,3902,4361,4053.333333,3.2965,0.2273
1.56,50,120,7.5,0.4,2.5,1.32,0.068,0.04,3.5,0.26,0.0875,0.325,24,20,D13,E13,F13,4458,3944,4511,4304.333333,3.5106,0.2672
1.56,50,105,10,1,2.5,0.87,0.068,0.04,4,0.13,0.175,0.65,28,20,D15,E15,F15,8113,7848,7637,7866,6.5491,0.2035
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,1635,1822,1566,1674.333333,1.2669,0.113
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,318,321,351,330,0.12,0.0156
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,1027,1081,1038,1048.666667,0.7331,0.0243
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,201,180,187,189.3333333,0,0.0091
