yield,yield_std,Day
6.561024309,0.949657539,Day_5
8.288685555,1.310100524,Day_5
6.044860335,0.771089455,Day_5
6.191262114,3.089167734,Day_5
7.724723054,0.421769398,Day_5
7.264774958,2.741651395,Day_5
7.858498807,0.230875907,Day_5
7.131299824,2.642446904,Day_5
5.537714951,0.499329273,Day_5
7.731036067,0.97641269,Day_5
7.088010591,1.466723372,Day_5
7.597260313,0.058921455,Day_5
1.384654202,0.514660876,Day_5
6.383057464,1.211797892,Day_5
2.836947831,0.460549335,Day_5
6.962050949,0.477384037,Day_5
0.252821143,0.053209682,Day_5
1.427342196,0.026755151,Day_5
6.880282399,0.817384884,Day_5
8.050594776,0.241998835,Day_5
