yield,yield_std,Day
8.64071119,0.421468778,Day_7
9.294558973,0.804458238,Day_7
-0.012926646,0.009920449,Day_7
11.46864043,1.09455622,Day_7
0.079363593,0.044792331,Day_7
11.70763307,1.497085959,Day_7
-0.067940046,0.014730364,Day_7
7.241927863,1.533761559,Day_7
14.27913373,1.727360627,Day_7
9.979069963,0.603644298,Day_7
13.35142143,1.693089984,Day_7
2.403454266,0.315350034,Day_7
1.602302844,0.092290239,Day_7
0.365854139,0.032767544,Day_7
12.92905079,1.00346846,Day_7
-0.044792331,0.003908056,Day_7
1.239154282,0.005110534,Day_7
10.76158297,0.165641438,Day_7
3.358823579,0.076658016,Day_7
14.55179577,0.306932684,Day_7
