yield,yield_std,Day
7.287922672,1.074715322,Day_8
1.675052804,0.121450347,Day_8
8.179259995,0.316251893,Day_8
5.73852889,0.290398602,Day_8
6.38696552,0.248011228,Day_8
7.022174884,0.348718818,Day_8
6.342173189,0.279275674,Day_8
6.519238175,0.515262115,Day_8
1.849412213,0.196905884,Day_8
5.102417668,0.689922144,Day_8
4.965936337,0.618675282,Day_8
0.817986123,0.120247868,Day_8
2.447344738,0.122352206,Day_8
6.186752819,0.281981251,Day_8
6.540882791,0.497224935,Day_8
3.059105767,0.239593877,Day_8
5.230181028,0.266649648,Day_8
5.647140511,0.436800381,Day_8
5.013133625,0.309638261,Day_8
7.222387584,0.390805572,Day_8
