yield,yield_std,Day
3.703333721,0.393511149,Day_2
1.189552036,0.138285048,Day_2
2.395036915,0.176463747,Day_2
4.300063767,0.357436788,Day_2
0.682106032,0.070645623,Day_2
2.744056352,0.009920449,Day_2
-0.020141518,0.004208675,Day_2
4.484043005,0.111229278,Day_2
0.631601928,0.062829511,Day_2
3.209114983,0.462052434,Day_2
3.260821566,0.215243684,Day_2
2.832137916,0.288895503,Day_2
1.05818124,0.048399767,Day_2
2.985453948,0.208930671,Day_2
-0.017135321,0.001503098,Day_2
0.611761029,0.052608442,Day_2
0.094093957,0.010521688,Day_2
0.226366612,0.062228272,Day_2
4.225810708,0.653847783,Day_2
0.450027647,0.042387374,Day_2
