yield,yield_std,Day
8.281170064,0.895846618,Day_10
10.87852402,0.872999523,Day_10
8.853850536,1.324229649,Day_10
8.554733964,1.310100524,Day_10
3.810354324,0.683609131,Day_10
8.098092684,0.825802235,Day_10
7.734042263,1.1859446,Day_10
6.363517185,0.659258937,Day_10
9.226618927,1.428244055,Day_10
7.950488426,0.938835231,Day_10
8.321453099,0.777703088,Day_10
8.787413589,0.834219586,Day_10
6.922068533,0.643326095,Day_10
1.154078915,0.209231291,Day_10
6.800618186,0.560054446,Day_10
10.3617588,0.624387056,Day_10
3.237974471,0.421769398,Day_10
1.339861871,0.14580054,Day_10
9.020093214,1.219313384,Day_10
7.443643662,0.535704253,Day_10
