yield,yield_std,Day
4.976157406,0.361344844,Day_9
11.02101774,0.259735395,Day_9
8.455529473,0.636411842,Day_9
0.967694719,0.0550134,Day_9
10.58692294,0.482193952,Day_9
12.27941168,0.68421037,Day_9
12.26408008,1.508509507,Day_9
14.4192225,0.720284731,Day_9
12.75409014,0.749144219,Day_9
11.66494507,0.517065833,Day_9
5.16434532,0.067038187,Day_9
10.5818124,0.573582331,Day_9
2.112454425,0.308736402,Day_9
13.59612584,0.890134844,Day_9
14.33715333,0.769586357,Day_9
10.639832,0.646933531,Day_9
14.12611832,1.004670939,Day_9
9.909927438,0.683308511,Day_9
10.55355415,0.80325576,Day_9
19.68788284,0.611761029,Day_9
