yield,yield_std,Day
9.951713573,0.777402468,Day_6
9.87174874,0.232379005,Day_6
8.316643185,0.239894497,Day_6
9.778556642,0.093793337,Day_6
6.305196969,0.052007203,Day_6
10.79164493,0.213740586,Day_6
-0.042387374,0.006914252,Day_6
1.347377363,0.128965839,Day_6
7.740054657,0.726297124,Day_6
3.922786081,0.514360256,Day_6
8.395405538,0.765678301,Day_6
7.705483395,0.94875568,Day_6
6.487973729,0.158727186,Day_6
7.810700279,0.87600572,Day_6
10.18649754,0.460248716,Day_6
8.278163867,0.296711615,Day_6
11.86726211,0.781911763,Day_6
-0.044491711,0.002705577,Day_6
8.006103065,0.703149409,Day_6
2.457265187,0.45634066,Day_6
