PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std,FCAvg,FCStd,Plasmid
3.5,2,0.2,0.0156,0.2,0.6,20,10,0,1,0,0,2454.28,274.5142736,2.86,0.155777836,2
3.5,1,0.2,0.0078,0.04,0.75,20,10,0,1,0,0,25604.21,1207.608681,6.77,0.240374845,2
3.5,1,0.2,0.0156,0.2,0.9,5,10,0,1,0,0,8746.48,1189.528063,2.59,0.166531954,2
3.5,1,0.2,0.0078,0.12,1.11,40,10,0,1,0,0,5024.43,611.8630238,3.56,0.325634557,2
3.5,0,0.2,0.0156,0.16,1.26,20,10,0,1,0,0,8143.53,737.4303998,3.18,0.133517296,2
3,0.5,0.2,0.0156,0.04,0.9,20,10,0,1,0,0,2645.97,253.9481027,4.19,0.111516698,2
3,0,0.2,0.0078,0.16,0.75,20,10,0,1,0,0,21074.24,6350.352987,4.44,0.694120088,2
3.5,2,0.2,0.0156,0.16,0.6,10,10,0,0,0,1,4120.33,195.037085,4.01,0.167096717,4
3,2,0.2,0.0156,0.08,0.48,10,10,0,0,1,0,10203.19,1813.926829,2.79,0.181180492,3
3,2.5,0.2,0.0156,0.2,0.75,100,10,0,1,0,0,94.09,28.06998896,1.93,0.284492127,2
3.5,1.5,0.2,0.0156,0.2,0.48,10,10,1,0,0,0,1966.8,151.7580919,3.65,0.068904268,1
3,0.5,0.2,0.0078,0.2,0.48,40,10,1,0,0,0,1134.97,141.8012862,3.73,0.261071687,1
3,2.5,0.2,0.0078,0.04,0.48,60,10,0,0,0,1,1184.38,73.51155384,4.62,0.143635258,4
3,0,0.2,0.0156,0.04,1.26,60,10,0,1,0,0,-229.85,2.625767936,0.3,0.038693837,2
3,1.5,0.2,0.0156,0.12,0.48,60,10,0,0,0,1,252.24,53.09067446,3.13,0.379426784,4
3,1,0.2,0.0156,0.04,0.48,100,10,0,0,0,1,339.76,210.339705,5.84,3.37783644,4
3,1.5,0.2,0.0156,0.2,0.6,80,10,0,0,0,1,252.96,154.479747,3.64,1.527514927,4
3.5,2.5,0.2,0.0078,0.08,1.38,5,10,0,0,0,1,11964.65,1720.137059,4.26,0.339911491,4
3.5,2.5,0.2,0.0078,0.2,0.48,80,10,1,0,0,0,404.54,7.873772738,3.76,0.323181662,1
