PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std,FCAvg,FCStd,Plasmid
3.5,2,0.2,0.0156,0.16,0.75,5,10,0,1,0,0,7948.327399,219.6109823,2.96,0.052667417,2
3.5,2.5,0.2,0.0078,0.2,0.75,10,10,0,1,0,0,11747.34551,861.9015182,3.28,0.114601694,2
3.5,3,0.2,0.0156,0.2,0.9,10,10,0,1,0,0,4170.398756,310.685891,2.86,0.077795225,2
3.5,0.5,0.2,0.0078,0.12,0.75,10,10,0,1,0,0,11355.4531,729.0635462,3.63,0.09635334,2
3,2,0.2,0.0156,0.04,0.6,10,10,0,1,0,0,8354.176391,761.4091406,3.61,0.131040796,2
3,1.5,0.2,0.0156,0.04,0.48,5,10,0,1,0,0,18153.40337,907.6485606,4.02,0.075506454,2
4,2,0.2,0.0156,0.04,0.48,5,10,0,1,0,0,11062.19584,399.2411778,3.26,0.054994618,2
4,2,0.2,0.0078,0.16,0.48,20,10,0,1,0,0,3026.048853,57.88251625,3.06,0.082578707,2
4,2.5,0.2,0.0156,0.12,0.6,40,10,0,1,0,0,13908.84098,3322.103357,3.67,0.411897536,2
3.5,3,0.2,0.0156,0.12,0.6,10,10,0,0,1,0,988.9764922,328.5938642,1.65,0.16024277,3
3.5,3,0.2,0.0078,0.12,1.26,10,10,0,1,0,0,854.1718797,270.6856436,3.16,0.484526101,2
5,1.5,0.2,0.0078,0.08,0.48,10,10,0,1,0,0,4689.394229,1035.44784,2.16,0.173950625,2
3.5,2,0.2,0.0078,0.04,0.6,20,10,0,0,0,1,3157.252761,198.4034092,3.59,0.071039129,4
3,1,0.2,0.0156,0.08,0.9,40,10,0,1,0,0,2007.933213,232.6800517,2.77,0.126156573,2
3,2,0.2,0.0156,0.04,0.48,5,10,1,0,0,0,2927.766692,348.3240089,3.81,0.159855982,1
4,1.5,0.2,0.0078,0.2,0.6,40,10,0,1,0,0,1594.223136,116.9079717,2.6,0.077065507,2
3,2,0.2,0.0078,0.08,0.48,100,10,0,1,0,0,1390.461492,480.9600643,3.68,0.737831887,2
3.5,3,0.2,0.0078,0.16,0.9,20,10,0,0,0,1,4035.43583,56.79235347,4.64,0.087862541,4
3,0,0.2,0.0156,0.12,0.6,10,10,0,0,1,0,7083.623879,585.8006787,2.53,0.061245279,3
3.5,0,0.2,0.0078,0.2,0.9,40,10,0,0,0,1,1832.654414,210.5892318,4.03,0.123827946,4
