PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std,FCAvg,FCStd,Plasmid
3,1,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,28375.29,2526.014098,6.01,0.366188629,2
2.5,0,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,24577.12,2668.60116,6.54,0.302352175,2
2.5,1,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,19586.38,2024.648856,6.21,0.312025016,2
2.5,1.5,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,9872.11,1302.836466,5.03,0.357649298,2
2.5,2.5,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,30933.06,4059.427286,6.33,0.434619452,2
3,2,0.2,0.0078,0.04,0.75,2.5,10,0,1,0,0,28818.11,1711.868505,6.31,0.180282421,2
2,0,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,52847.37,6502.376365,8.18,0.6382342,2
2.5,1.5,0.2,0.0078,0.04,0.75,0,10,0,1,0,0,23524.08,3491.867637,4.59,0.347194069,2
2.5,0,0.2,0.0078,0.04,0.75,10,10,0,1,0,0,37392.68,5157.024667,8.22,0.774746213,2
3.5,1.5,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,16571.73,1954.921928,5.15,0.381864895,2
3,0.5,0.6,0.0156,0.04,0.75,0,10,0,1,0,0,14611.94,382.5279228,3.83,0.044864011,2
2.5,0.5,0.2,0.0156,0.04,0.75,2.5,10,0,1,0,0,19659.66,1193.717225,6.09,0.235949236,2
3,2,0.6,0.0156,0.04,0.75,5,10,0,1,0,0,5706.41,549.2771424,4.55,0.174186491,2
3,1,0.2,0.0156,0.04,0.75,0,10,0,1,0,0,23169.18,1125.088618,4.37,0.072445631,2
3,0.5,0.2,0.0078,0.04,0.75,5,10,0,0,1,0,8401.25,935.4081,3.07,0.135753752,3
3.5,1,0.2,0.0156,0.04,0.75,5,10,0,1,0,0,19801.01,581.5310941,7.22,0.045694332,2
2.5,1,0.4,0.0273,0.04,0.75,5,10,0,1,0,0,5026.43,336.3424076,4.66,0.271515309,2
4.5,1,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,762.7,822.4034853,1.56,0.600159039,2
3,4,0.2,0.0273,0.04,0.75,5,10,0,1,0,0,9834.71,649.5291739,5.15,0.225369934,2
3,1,0.4,0.0078,0.04,0.75,5,10,0,0,0,1,8695.96,214.5316247,6.42,0.128121352,4
