PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std,FCAvg,FCStd,Plasmid
3,2.5,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,21377.33,5339.308726,4.53,0.722685802,2
3,4,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,25375.42,1537.344988,3.53,0.147598533,2
3,0,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,38641.13,4131.643693,6.22,0.61680355,2
3,2.5,0.2,0.0078,0.04,0.75,2.5,10,0,1,0,0,20137.63,1928.233552,4.08,0.294256465,2
2,1,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,21043.68,4001.493007,3.57,0.5082767,2
3.5,2,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,10181.58,2770.751584,3.78,0.730336762,2
2,3,0.6,0.0078,0.04,0.75,2.5,10,0,1,0,0,20997.18,1892.239824,4.03,0.328920593,2
2,3.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,17569.57,1809.69693,3.31,0.23605592,2
2.5,3.5,0.2,0.0078,0.04,0.75,2.5,10,0,1,0,0,13983.95,1755.625946,3.81,0.202521362,2
2.5,4,0.2,0.0078,0.04,0.75,2.5,10,0,1,0,0,23930.06,1529.130575,3.64,0.11681024,2
3.5,3,0.6,0.0078,0.04,0.75,2.5,10,0,1,0,0,8875.01,680.0176897,2.92,0.120920596,2
2.5,0,0.6,0.0156,0.04,0.75,2.5,10,0,1,0,0,12178.46,1909.756044,4.3,0.512715738,2
2.5,0,0.6,0.0078,0.04,0.75,20,10,0,1,0,0,7592.14,1688.646391,4.51,0.657158504,2
1.5,0.5,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,9884.71,2738.940483,3.53,0.608002833,2
1,0.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,4432.29,653.9985311,3.11,0.357176082,2
2,2.5,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,16015.16,3166.86949,3.56,0.472368289,2
3,4,0.4,0.0156,0.04,0.75,5,10,0,1,0,0,14903.81,1345.22608,3.31,0.162694171,2
3,1.5,0.6,0.0156,0.04,0.75,5,10,0,1,0,0,7297.36,721.2716011,3.25,0.188438305,2
3,1.5,0.6,0.0156,0.04,0.75,2.5,10,0,1,0,0,11076.41,1678.995193,3.67,0.347912681,2
1,2.5,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,9020.64,2210.054686,2.97,0.385581093,2
