PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std,FCAvg,FCStd,Plasmid
1.5,1,1,0.0273,0.12,1.5,40,10,0,0,1,0,1122.59,160.5202912,3.22,0.228359084,3
1,4,1.6,0.0507,0.08,0.48,5,10,0,0,1,0,464.75,118.9340104,1.37,0.081562124,3
3,2,1.8,0.0507,0.08,0.48,5,10,0,1,0,0,-156.98,4.362112785,0.3,0.00429961,2
2.5,4,0.2,0.0273,0.2,1.26,100,10,0,0,0,1,156.16,35.731898,2.58,0.382125826,4
1,0,0.6,0.0273,0.08,1.11,60,10,0,0,0,1,164.76,89.22025531,3.09,1.184836143,4
1.5,0,0.8,0.078,0.16,0.9,100,10,0,1,0,0,23.64,40.05794948,3.3,3.862823918,2
3.5,3,1.8,0.0702,0.04,0.48,80,10,1,0,0,0,7.1,14.26694811,1.27,0.592794604,1
3.5,4,1.2,0.0507,0.2,0.48,20,10,0,1,0,0,31.65,7.733705663,1.59,0.145637977,2
3.5,3,0.2,0.0702,0.2,1.11,5,10,0,0,1,0,2729,75.42900162,1.83,0.016314713,3
3,1,0.4,0.0273,0.16,0.9,20,10,1,0,0,0,1116.21,108.7039093,3.73,0.245826852,1
4.5,3.5,1.4,0.0078,0.12,0.9,20,10,0,0,1,0,-34.19,4.926928041,0.23,0.054424894,3
3.5,2.5,0.2,0.0156,0.08,0.48,20,10,0,1,0,0,9759.69,536.9216628,3.93,0.10039669,2
1.5,3,1.2,0.0507,0.12,1.5,40,10,0,1,0,0,108.8,571.8429101,1.56,16.59614805,2
1,4,1,0.078,0.08,0.6,80,10,0,0,0,1,12.96,12.97882967,0.89,2.611399679,4
5,1,1.6,0.0156,0.04,0.9,10,10,0,0,0,1,-18.92,1.901601654,0.59,0.014695337,4
4.5,0.5,0.4,0.0624,0.12,1.11,100,10,0,1,0,0,-1.18,6.831495567,0.9,0.373026812,2
4,0,2,0.0156,0.2,1.26,10,10,1,0,0,0,239.24,41.7045919,1.76,0.111811589,1
