PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std,FCAvg,FCStd,Plasmid
3.5,0,0.2,0.0156,0.12,0.48,5,10,0,0,1,0,4322.2,423.2688434,1.86,0.05893534,3
3.5,0.5,0.2,0.0078,0.16,0.75,80,10,0,0,1,0,1280.41,120.4610776,2.22,0.096969233,3
3.5,0.5,0.2,0.0156,0.16,0.9,5,10,0,0,1,0,6019.75,896.005005,2.08,0.07682602,3
3.5,0.5,0.2,0.0156,0.04,1.5,5,10,0,0,1,0,15789.62,2867.123657,2.68,0.245712464,3
3.5,1,0.2,0.0156,0.16,0.9,80,10,0,0,1,0,756.26,69.83006812,2.05,0.095273315,3
3.5,1.5,0.2,0.0156,0.2,1.26,40,10,0,0,1,0,2820.62,450.3149859,2.72,0.22735412,3
3.5,2,0.2,0.0156,0.16,0.6,10,10,0,1,0,0,6031.78,848.5019382,3.01,0.144194518,2
3,2.5,0.2,0.0156,0.16,1.11,40,10,0,0,1,0,2432.31,339.6160617,2.51,0.202536762,3
3.5,0.5,0.2,0.0078,0.12,0.75,60,10,1,0,0,0,731.16,32.60344215,3.58,0.084831797,1
3.5,2,0.2,0.0156,0.08,0.75,100,10,1,0,0,0,431.25,382.5815354,6.65,4.348976869,1
3.5,0.5,0.2,0.0156,0.08,1.11,10,10,0,0,0,1,3620.45,148.1526765,3.83,0.099488919,4
3.5,0,0.2,0.0156,0.16,0.9,5,10,0,1,0,0,6466.05,1155.811945,3.04,0.214560358,2
3,0,0.2,0.0078,0.04,0.6,60,10,0,0,0,1,1391.29,347.5133785,5.31,0.825754607,4
3.5,2,0.2,0.0078,0.12,1.5,20,10,1,0,0,0,2583.49,125.4750667,5.28,0.192374398,1
3,0.5,0.2,0.0078,0.2,0.6,60,10,0,1,0,0,1798.72,159.4957119,2.78,0.133251912,2
3.5,0,0.2,0.0156,0.16,0.9,80,10,1,0,0,0,356.91,183.4099101,5.98,2.273218408,1
3,2.5,0.2,0.0156,0.08,1.5,20,10,0,0,0,1,4669.67,734.7439119,5.44,0.521514918,4
3,2.5,0.2,0.0156,0.04,1.5,20,10,0,1,0,0,14748.62,179.9935163,4.79,0.086371624,2
