PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std,FCAvg,FCStd,Plasmid
3,0,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,32578.71,3248.571263,5.11,0.322722949,2
3,1,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,25229.11,2919.7085,3.81,0.194834708,2
2,0,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,18442.31,7402.841011,3.75,0.673889813,2
2,2.5,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,25402.84,4236.763483,3.44,0.255393899,2
3,0.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,43024.87,32326.67834,6.56,4.338201043,2
2,0.5,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,16081.75,1637.582266,3.61,0.240322985,2
3,0,0.2,0.0078,0.04,0.75,5,10,0,0,0,1,16799.31,8584.558027,7.12,3.036050959,4
2.5,2.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,27556.57,5174.902083,4.13,0.409655991,2
2,0,1.4,0.0078,0.04,0.75,5,10,0,1,0,0,17628.12,3133.604744,3.68,0.342053982,2
2.5,0,0.6,0.0156,0.04,0.75,5,10,0,1,0,0,21002.33,1333.697724,4.28,0.132454188,2
3,0,0.2,0.0078,0.04,0.75,5,10,1,0,0,0,4225.11,514.8067124,4.36,0.344322401,1
3,0,0.4,0.0078,0.04,0.75,20,10,0,1,0,0,27003.44,8223.769138,4.76,0.771767848,2
3.5,0,1.4,0.0078,0.04,0.75,5,10,0,1,0,0,777.73,130.7867158,1.74,0.097720906,2
2,1.5,0.2,0.0156,0.04,0.75,5,10,0,1,0,0,4914.55,225.8568309,2.85,0.039227279,2
3,1.5,0.2,0.0078,0.04,0.75,5,10,0,0,0,1,9432.53,834.9079133,4.71,0.124032537,4
3,0,0.4,0.0078,0.04,0.75,5,10,1,0,0,0,4647.02,1388.792075,4.84,0.864368929,1
3.5,1.5,0.2,0.0078,0.04,0.75,5,10,0,0,0,1,11866.36,1096.01336,4.69,0.123165944,4
2.5,0,0.6,0.0078,0.04,0.75,5,10,0,0,1,0,10696.03,2008.224448,2.47,0.154402985,3
2,0,0.4,0.0078,0.04,0.75,5,10,1,0,0,0,3952.25,428.1724157,4.14,0.263637568,1
2.5,0,0.6,0.0078,0.04,0.75,5,10,0,0,0,1,8669.72,269.6695787,5.23,0.091801248,4
