PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std,FCAvg,FCStd,Plasmid
3.5,1.5,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,34814.26,12167.4218,7.16,2.305233228,2
4,1.5,0.2,0.0078,0.04,0.75,20,10,0,1,0,0,3306.33,991.0482871,3.19,0.829314937,2
3.5,0,0.2,0.0156,0.04,0.75,20,10,0,1,0,0,5910,91.94410676,3.47,0.014210216,2
4,1.5,0.2,0.0156,0.04,0.75,20,10,0,1,0,0,1993.01,181.5858389,2.61,0.035572927,2
2,0,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,14991.78,2397.046655,3.69,0.36314173,2
3.5,2.5,0.2,0.0156,0.04,0.75,5,10,0,1,0,0,14242.9,1732.167284,3.19,0.2433933,2
1,1,0.2,0.0156,0.04,0.75,10,10,0,1,0,0,2962.32,637.751699,2.59,0.337290309,2
1.5,1.5,0.2,0.0156,0.04,0.75,10,10,0,1,0,0,4660.54,417.1318858,3.12,0.253623995,2
1.5,2,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,8730.63,1359.654856,2.8,0.293030274,2
3,1,0.6,0.0078,0.04,0.75,20,10,0,1,0,0,6934.3,1804.315895,3.75,0.681757772,2
4,1,0.6,0.0078,0.04,0.75,20,10,0,1,0,0,3747.66,621.5821362,2.6,0.245517648,2
1.5,2.5,0.2,0.0156,0.04,0.75,20,10,0,1,0,0,4509.09,1557.653654,4.63,1.458291434,2
2.5,0,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,24010.14,3480.058862,4.09,0.247702847,2
3.5,1,0.8,0.0078,0.04,0.75,5,10,0,1,0,0,5279.2,2124.624617,2.4,0.376849877,2
4,0.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,5819.59,768.7259939,2.47,0.202017302,2
2,1,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,13039.56,1665.988677,3.6,0.12907364,2
3.5,0.5,1,0.0078,0.04,0.75,20,10,0,1,0,0,3971.79,1459.061107,2.92,0.497420783,2
2,0,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,26933.82,5010.101024,4.15,0.339737183,2
1,1,0.8,0.0078,0.04,0.75,20,10,0,1,0,0,4647.89,1358.513093,3.12,0.468155536,2
3,1,1,0.0078,0.04,0.75,20,10,0,1,0,0,5129.27,895.419249,3.19,0.205583371,2
