PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
1.5,1.0,1.0,0.0273,0.12,1.5,40,10,0,0,1,0,1122.59,160.52029119999997
1.0,4.0,1.6,0.0507,0.08,0.48,5,10,0,0,1,0,464.75,118.9340104
3.0,2.0,1.8,0.0507,0.08,0.48,5,10,0,1,0,0,-156.98,4.362112785
2.5,4.0,0.2,0.0273,0.2,1.26,100,10,0,0,0,1,156.16,35.731898
1.0,0.0,0.6,0.0273,0.08,1.11,60,10,0,0,0,1,164.76,89.22025531
1.5,0.0,0.8,0.078,0.16,0.9,100,10,0,1,0,0,23.64,40.05794948
3.5,3.0,1.8,0.0702,0.04,0.48,80,10,1,0,0,0,7.1,14.26694811
4.5,4.0,1.8,0.0273,0.08,0.48,100,10,1,0,0,0,9.45,10.83396769
3.5,4.0,1.2,0.0507,0.2,0.48,20,10,0,1,0,0,31.65,7.733705662999999
3.5,3.0,0.2,0.0702,0.2,1.11,5,10,0,0,1,0,2729.0,75.42900162
3.0,1.0,0.4,0.0273,0.16,0.9,20,10,1,0,0,0,1116.21,108.70390929999999
4.5,3.5,1.4,0.0078,0.12,0.9,20,10,0,0,1,0,-34.19,4.926928041
3.5,2.5,0.2,0.0156,0.08,0.48,20,10,0,1,0,0,9759.69,536.9216627999999
1.5,3.0,1.2,0.0507,0.12,1.5,40,10,0,1,0,0,108.8,571.8429100999999
1.0,0.5,1.2,0.0624,0.2,0.48,60,10,0,0,0,1,145.33,258.6838482
1.0,4.0,1.0,0.078,0.08,0.6,80,10,0,0,0,1,12.96,12.97882967
5.0,1.0,1.6,0.0156,0.04,0.9,10,10,0,0,0,1,-18.92,1.901601654
4.5,0.5,0.4,0.0624,0.12,1.11,100,10,0,1,0,0,-1.18,6.831495567
4.0,0.0,2.0,0.0156,0.2,1.26,10,10,1,0,0,0,239.24,41.7045919
2.0,3.5,0.2,0.0507,0.04,1.26,100,10,0,1,0,0,1.87,8.084330801
