PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3,0,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,32578.71,3248.571263
3,1,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,25229.11,2919.7085
2,0,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,18442.31,7402.841011
2,2.5,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,25402.84,4236.763483
3,0.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,43024.87,32326.67834
2,0.5,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,16081.75,1637.582266
3,0,0.2,0.0078,0.04,0.75,5,10,0,0,0,1,16799.31,8584.558027
2.5,2.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,27556.57,5174.902083
2,0,1.4,0.0078,0.04,0.75,5,10,0,1,0,0,17628.12,3133.604744
2.5,0,0.6,0.0156,0.04,0.75,5,10,0,1,0,0,21002.33,1333.697724
3,0,0.2,0.0078,0.04,0.75,5,10,1,0,0,0,4225.11,514.8067124
3,0,0.4,0.0078,0.04,0.75,20,10,0,1,0,0,27003.44,8223.769138
3.5,0,1.4,0.0078,0.04,0.75,5,10,0,1,0,0,777.73,130.7867158
2,1.5,0.2,0.0156,0.04,0.75,5,10,0,1,0,0,4914.55,225.8568309
3,1.5,0.2,0.0078,0.04,0.75,5,10,0,0,0,1,9432.53,834.9079133
3,0,0.4,0.0078,0.04,0.75,5,10,1,0,0,0,4647.02,1388.792075
3.5,1.5,0.2,0.0078,0.04,0.75,5,10,0,0,0,1,11866.36,1096.01336
2.5,0,0.6,0.0078,0.04,0.75,5,10,0,0,1,0,10696.03,2008.224448
2,0,0.4,0.0078,0.04,0.75,5,10,1,0,0,0,3952.25,428.1724157
2.5,0,0.6,0.0078,0.04,0.75,5,10,0,0,0,1,8669.72,269.6695787
