PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3.5,0.0,0.2,0.0156,0.12,0.48,5,10,0,0,1,0,4322.2,423.2688433999999
3.5,0.5,0.2,0.0078,0.16,0.75,80,10,0,0,1,0,1280.41,120.46107759999998
3.0,0.5,0.2,0.0078,0.04,0.48,80,10,0,0,1,0,-31.05,21.30279316
3.5,0.5,0.2,0.0156,0.16,0.9,5,10,0,0,1,0,6019.75,896.0050050000001
3.5,0.5,0.2,0.0156,0.04,1.5,5,10,0,0,1,0,15789.62,2867.123657
3.5,1.0,0.2,0.0156,0.16,0.9,80,10,0,0,1,0,756.26,69.83006812
3.5,1.5,0.2,0.0156,0.2,1.26,40,10,0,0,1,0,2820.62,450.3149859
3.5,2.0,0.2,0.0156,0.16,0.6,10,10,0,1,0,0,6031.78,848.5019382000002
3.5,1.0,0.2,0.0156,0.04,0.6,100,10,1,0,0,0,-29.58,253.5569014
3.0,2.5,0.2,0.0156,0.16,1.11,40,10,0,0,1,0,2432.31,339.6160617
3.5,0.5,0.2,0.0078,0.12,0.75,60,10,1,0,0,0,731.16,32.60344215
3.5,2.0,0.2,0.0156,0.08,0.75,100,10,1,0,0,0,431.25,382.5815354
3.5,0.5,0.2,0.0156,0.08,1.11,10,10,0,0,0,1,3620.45,148.15267649999998
3.5,0.0,0.2,0.0156,0.16,0.9,5,10,0,1,0,0,6466.05,1155.811945
3.0,0.0,0.2,0.0078,0.04,0.6,60,10,0,0,0,1,1391.29,347.5133785
3.5,2.0,0.2,0.0078,0.12,1.5,20,10,1,0,0,0,2583.49,125.47506670000001
3.0,0.5,0.2,0.0078,0.2,0.6,60,10,0,1,0,0,1798.72,159.4957119
3.5,0.0,0.2,0.0156,0.16,0.9,80,10,1,0,0,0,356.91,183.4099101
3.0,2.5,0.2,0.0156,0.08,1.5,20,10,0,0,0,1,4669.67,734.7439119
3.0,2.5,0.2,0.0156,0.04,1.5,20,10,0,1,0,0,14748.62,179.9935163
