PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3,2.5,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,21377.33,5339.308726
3,4,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,25375.42,1537.344988
3,0,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,38641.13,4131.643693
3,2.5,0.2,0.0078,0.04,0.75,2.5,10,0,1,0,0,20137.63,1928.233552
2,1,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,21043.68,4001.493007
3.5,2,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,10181.58,2770.751584
2,3,0.6,0.0078,0.04,0.75,2.5,10,0,1,0,0,20997.18,1892.239824
2,3.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,17569.57,1809.69693
2.5,3.5,0.2,0.0078,0.04,0.75,2.5,10,0,1,0,0,13983.95,1755.625946
2.5,4,0.2,0.0078,0.04,0.75,2.5,10,0,1,0,0,23930.06,1529.130575
3.5,3,0.6,0.0078,0.04,0.75,2.5,10,0,1,0,0,8875.01,680.0176897
2.5,0,0.6,0.0156,0.04,0.75,2.5,10,0,1,0,0,12178.46,1909.756044
2.5,0,0.6,0.0078,0.04,0.75,20,10,0,1,0,0,7592.14,1688.646391
1.5,0.5,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,9884.71,2738.940483
1,0.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,4432.29,653.9985311
2,2.5,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,16015.16,3166.86949
3,4,0.4,0.0156,0.04,0.75,5,10,0,1,0,0,14903.81,1345.22608
3,1.5,0.6,0.0156,0.04,0.75,5,10,0,1,0,0,7297.36,721.2716011
3,1.5,0.6,0.0156,0.04,0.75,2.5,10,0,1,0,0,11076.41,1678.995193
1,2.5,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,9020.64,2210.054686
