PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3.5,2.0,0.2,0.0156,0.16,0.75,5,10,0,1,0,0,7948.327399,219.61098230000005
3.5,2.5,0.2,0.0078,0.2,0.75,10,10,0,1,0,0,11747.34551,861.9015182
3.5,3.0,0.2,0.0156,0.2,0.9,10,10,0,1,0,0,4170.3987560000005,310.685891
3.5,0.5,0.2,0.0078,0.12,0.75,10,10,0,1,0,0,11355.4531,729.0635462
3.0,2.0,0.2,0.0156,0.04,0.6,10,10,0,1,0,0,8354.176390999999,761.4091406
3.0,1.5,0.2,0.0156,0.04,0.48,5,10,0,1,0,0,18153.40337,907.6485606000001
4.0,2.0,0.2,0.0156,0.04,0.48,5,10,0,1,0,0,11062.19584,399.2411778
4.0,2.0,0.2,0.0078,0.16,0.48,20,10,0,1,0,0,3026.0488530000002,57.88251625
4.0,2.5,0.2,0.0156,0.12,0.6,40,10,0,1,0,0,13908.84098,3322.103357
3.5,3.0,0.2,0.0156,0.12,0.6,10,10,0,0,1,0,988.9764922,328.5938642
3.5,3.0,0.2,0.0078,0.12,1.26,10,10,0,1,0,0,854.1718797,270.68564360000005
5.0,1.5,0.2,0.0078,0.08,0.48,10,10,0,1,0,0,4689.3942289999995,1035.44784
3.5,2.0,0.2,0.0078,0.04,0.6,20,10,0,0,0,1,3157.2527609999997,198.4034092
3.0,1.0,0.2,0.0156,0.08,0.9,40,10,0,1,0,0,2007.9332129999998,232.6800517
3.0,2.0,0.2,0.0156,0.04,0.48,5,10,1,0,0,0,2927.766692,348.32400889999997
4.0,1.5,0.2,0.0078,0.2,0.6,40,10,0,1,0,0,1594.2231359999998,116.90797169999999
3.0,2.0,0.2,0.0078,0.08,0.48,100,10,0,1,0,0,1390.461492,480.9600643
3.5,3.0,0.2,0.0078,0.16,0.9,20,10,0,0,0,1,4035.43583,56.79235347
3.0,0.0,0.2,0.0156,0.12,0.6,10,10,0,0,1,0,7083.623879000001,585.8006787
3.5,0.0,0.2,0.0078,0.2,0.9,40,10,0,0,0,1,1832.654414,210.5892318
