PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
4.0,2.5,0.2,0.0078,0.04,0.48,20,10,0,1,0,0,4882.76,1028.271191
3.5,2.5,0.2,0.0156,0.04,1.38,20,10,0,1,0,0,3416.41,642.7593574
4.5,2.5,0.2,0.0156,0.2,0.48,10,10,0,1,0,0,1215.41,47.85701549
5.0,2.5,0.2,0.078,0.08,0.9,5,10,0,1,0,0,198.79,35.50187704
4.0,2.5,0.2,0.0624,0.2,0.48,20,10,0,1,0,0,35.02,11.406587
3.5,2.5,0.2,0.078,0.2,0.9,20,10,0,1,0,0,34.66,26.9587439
3.5,2.5,0.2,0.0624,0.2,1.11,10,10,0,1,0,0,264.14,29.126889399999996
4.5,2.5,0.2,0.0273,0.08,0.75,60,10,0,1,0,0,44.88,52.72115325
3.5,2.5,0.2,0.0624,0.08,0.48,100,10,0,1,0,0,-6.67,11.05119657
3.0,2.5,0.2,0.0078,0.04,1.5,100,10,0,1,0,0,31.96,48.88034527
5.0,2.5,0.2,0.0624,0.08,0.48,80,10,0,1,0,0,-1.89,3.177589686
3.5,2.5,0.2,0.0702,0.08,1.38,10,10,0,1,0,0,5524.51,5493.788492000001
3.5,2.5,0.2,0.0702,0.12,1.11,80,10,0,1,0,0,-9.36,8.965535999
5.0,2.5,0.2,0.0624,0.04,1.26,40,10,0,1,0,0,-9.91,13.57785393
3.0,2.5,0.2,0.0507,0.12,1.11,20,10,0,1,0,0,106.84,34.74386916
2.0,2.5,0.2,0.0156,0.2,0.75,20,10,0,1,0,0,2183.47,234.6161946
3.0,2.5,0.2,0.0702,0.16,0.6,80,10,0,1,0,0,-4.27,6.224850545
3.5,2.0,0.2,0.0078,0.04,0.6,10,10,0,1,0,0,18811.54,1009.748518
3.5,2.0,0.2,0.0078,0.16,0.48,60,10,0,1,0,0,659.5,152.8961244
1.0,2.5,0.2,0.0078,0.04,1.5,60,10,0,1,0,0,466.3,138.2351458
