PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3.5,1.5,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,34814.26,12167.4218
4,1.5,0.2,0.0078,0.04,0.75,20,10,0,1,0,0,3306.33,991.0482871
3.5,0,0.2,0.0156,0.04,0.75,20,10,0,1,0,0,5910,91.94410676
4,1.5,0.2,0.0156,0.04,0.75,20,10,0,1,0,0,1993.01,181.5858389
2,0,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,14991.78,2397.046655
3.5,2.5,0.2,0.0156,0.04,0.75,5,10,0,1,0,0,14242.9,1732.167284
1,1,0.2,0.0156,0.04,0.75,10,10,0,1,0,0,2962.32,637.751699
1.5,1.5,0.2,0.0156,0.04,0.75,10,10,0,1,0,0,4660.54,417.1318858
1.5,2,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,8730.63,1359.654856
3,1,0.6,0.0078,0.04,0.75,20,10,0,1,0,0,6934.3,1804.315895
4,1,0.6,0.0078,0.04,0.75,20,10,0,1,0,0,3747.66,621.5821362
1.5,2.5,0.2,0.0156,0.04,0.75,20,10,0,1,0,0,4509.09,1557.653654
2.5,0,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,24010.14,3480.058862
3.5,1,0.8,0.0078,0.04,0.75,5,10,0,1,0,0,5279.2,2124.624617
4,0.5,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,5819.59,768.7259939
2,1,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,13039.56,1665.988677
3.5,0.5,1,0.0078,0.04,0.75,20,10,0,1,0,0,3971.79,1459.061107
2,0,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,26933.82,5010.101024
1,1,0.8,0.0078,0.04,0.75,20,10,0,1,0,0,4647.89,1358.513093
3,1,1,0.0078,0.04,0.75,20,10,0,1,0,0,5129.27,895.419249
