PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3.5,2.0,0.2,0.0156,0.2,0.6,20,10,0,1,0,0,2454.28,274.5142736
3.5,1.0,0.2,0.0078,0.04,0.75,20,10,0,1,0,0,25604.21,1207.6086810000002
3.5,1.0,0.2,0.0156,0.2,0.9,5,10,0,1,0,0,8746.48,1189.528063
3.5,1.0,0.2,0.0078,0.12,1.11,40,10,0,1,0,0,5024.43,611.8630238
3.5,0.0,0.2,0.0156,0.16,1.26,20,10,0,1,0,0,8143.53,737.4303997999999
3.0,0.5,0.2,0.0156,0.04,0.9,20,10,0,1,0,0,2645.97,253.94810269999996
3.0,0.0,0.2,0.0078,0.16,0.75,20,10,0,1,0,0,21074.24,6350.352986999999
3.5,2.0,0.2,0.0156,0.16,0.6,10,10,0,0,0,1,4120.33,195.03708500000002
3.0,2.0,0.2,0.0156,0.08,0.48,10,10,0,0,1,0,10203.19,1813.926829
3.0,2.5,0.2,0.0156,0.2,0.75,100,10,0,1,0,0,94.09,28.06998896
3.5,1.5,0.2,0.0156,0.2,0.48,10,10,1,0,0,0,1966.8,151.7580919
3.0,0.5,0.2,0.0078,0.2,0.48,40,10,1,0,0,0,1134.97,141.8012862
3.0,2.5,0.2,0.0078,0.04,0.48,60,10,0,0,0,1,1184.38,73.51155384
3.0,0.0,0.2,0.0156,0.04,1.26,60,10,0,1,0,0,-229.85,2.625767936
3.0,1.5,0.2,0.0156,0.12,0.48,60,10,0,0,0,1,252.24,53.09067446
3.0,1.0,0.2,0.0156,0.04,0.48,100,10,0,0,0,1,339.76,210.33970499999998
3.0,1.5,0.2,0.0156,0.2,0.6,80,10,0,0,0,1,252.96,154.479747
3.5,2.5,0.2,0.0078,0.08,1.38,5,10,0,0,0,1,11964.65,1720.137059
4.0,2.5,0.2,0.0156,0.12,0.48,20,10,0,1,0,0,28231.14,11975.80177
3.5,2.5,0.2,0.0078,0.2,0.48,80,10,1,0,0,0,404.54,7.8737727379999995
